,GEO_ID,NAME,H011B001,H011B002,H011B003,H011B004
0,id,Geographic Area Name,Population in occupied housing units,Population in occupied housing units!!Owned with a mortgage or a loan,Population in occupied housing units!!Owned free and clear,Population in occupied housing units!!Renter occupied
1197,8710000US3613410,"ZCTA5 13410, New York",0,0,0,0
1198,8710000US3613411,"ZCTA5 13411, New York",11,4,3,4
1199,8710000US3613413,"ZCTA5 13413, New York",160,54,7,99
1200,8710000US3613415,"ZCTA5 13415, New York",0,0,0,0
1201,8710000US3613416,"ZCTA5 13416, New York",10,4,2,4
1202,8710000US3613417,"ZCTA5 13417, New York",42,1,0,41
1203,8710000US3613418,"ZCTA5 13418, New York",0,0,0,0
1204,8710000US3613420,"ZCTA5 13420, New York",6,3,3,0
1205,8710000US3613421,"ZCTA5 13421, New York",111,29,2,80
1206,8710000US3613424,"ZCTA5 13424, New York",18,8,0,10
1207,8710000US3613425,"ZCTA5 13425, New York",3,2,1,0
1208,8710000US3613428,"ZCTA5 13428, New York",6,4,0,2
1209,8710000US3613431,"ZCTA5 13431, New York",1,1,0,0
1210,8710000US3613433,"ZCTA5 13433, New York",16,6,10,0
1211,8710000US3613435,"ZCTA5 13435, New York",0,0,0,0
1212,8710000US3613436,"ZCTA5 13436, New York",0,0,0,0
1213,8710000US3613437,"ZCTA5 13437, New York",0,0,0,0
1214,8710000US3613438,"ZCTA5 13438, New York",11,9,0,2
1215,8710000US3613439,"ZCTA5 13439, New York",6,0,0,6
1216,8710000US3613440,"ZCTA5 13440, New York",1356,454,135,767
1217,8710000US3613441,"ZCTA5 13441, New York",5,0,0,5
1218,8710000US3613450,"ZCTA5 13450, New York",0,0,0,0
1219,8710000US3613452,"ZCTA5 13452, New York",10,7,0,3
1220,8710000US3613454,"ZCTA5 13454, New York",0,0,0,0
1221,8710000US3613456,"ZCTA5 13456, New York",19,13,2,4
1222,8710000US3613459,"ZCTA5 13459, New York",9,4,1,4
1223,8710000US3613460,"ZCTA5 13460, New York",6,0,0,6
1224,8710000US3613461,"ZCTA5 13461, New York",10,0,0,10
1225,8710000US3613464,"ZCTA5 13464, New York",0,0,0,0
1226,8710000US3613468,"ZCTA5 13468, New York",0,0,0,0
1227,8710000US3613469,"ZCTA5 13469, New York",2,2,0,0
1228,8710000US3613470,"ZCTA5 13470, New York",0,0,0,0
1229,8710000US3613471,"ZCTA5 13471, New York",24,7,5,12
1230,8710000US3613472,"ZCTA5 13472, New York",0,0,0,0
1231,8710000US3613473,"ZCTA5 13473, New York",2,2,0,0
1232,8710000US3613475,"ZCTA5 13475, New York",0,0,0,0
1233,8710000US3613476,"ZCTA5 13476, New York",17,6,2,9
1234,8710000US3613477,"ZCTA5 13477, New York",0,0,0,0
1235,8710000US3613478,"ZCTA5 13478, New York",10,2,0,8
1236,8710000US3613480,"ZCTA5 13480, New York",10,2,1,7
1237,8710000US3613483,"ZCTA5 13483, New York",0,0,0,0
1238,8710000US3613484,"ZCTA5 13484, New York",0,0,0,0
1239,8710000US3613485,"ZCTA5 13485, New York",1,0,1,0
1240,8710000US3613486,"ZCTA5 13486, New York",0,0,0,0
