"GEO_ID","NAME","H011F001","H011F002","H011F003","H011F004"
"id","Geographic Area Name","Population in occupied housing units","Population in occupied housing units!!Owned with a mortgage or a loan","Population in occupied housing units!!Owned free and clear","Population in occupied housing units!!Renter occupied"
"8710000US3610452","ZCTA5 10452, New York","26617","409","198","26010"
"8710000US3610453","ZCTA5 10453, New York","27269","678","165","26426"
"8710000US3610454","ZCTA5 10454, New York","13189","580","139","12470"
"8710000US3610455","ZCTA5 10455, New York","14066","737","188","13141"
"8710000US3610456","ZCTA5 10456, New York","23680","881","196","22603"
"8710000US3610457","ZCTA5 10457, New York","22182","1025","324","20833"
"8710000US3610458","ZCTA5 10458, New York","26237","692","139","25406"
"8710000US3610459","ZCTA5 10459, New York","14934","1244","252","13438"
"8710000US3610460","ZCTA5 10460, New York","17143","1290","267","15586"
"8710000US3610461","ZCTA5 10461, New York","8586","1532","139","6915"
"8710000US3610462","ZCTA5 10462, New York","15874","2221","407","13246"
"8710000US3610463","ZCTA5 10463, New York","14859","1374","432","13053"
"8710000US3610464","ZCTA5 10464, New York","204","31","8","165"
"8710000US3610465","ZCTA5 10465, New York","5448","1933","166","3349"
"8710000US3610466","ZCTA5 10466, New York","6966","1159","187","5620"
"8710000US3610467","ZCTA5 10467, New York","21229","1249","380","19600"
"8710000US3610468","ZCTA5 10468, New York","27267","867","255","26145"
"8710000US3610469","ZCTA5 10469, New York","6692","2151","256","4285"
"8710000US3610470","ZCTA5 10470, New York","1210","259","29","922"
"8710000US3610471","ZCTA5 10471, New York","1445","347","72","1026"
"8710000US3610472","ZCTA5 10472, New York","20364","2078","426","17860"
"8710000US3610473","ZCTA5 10473, New York","13947","3843","498","9606"
"8710000US3610474","ZCTA5 10474, New York","3932","192","100","3640"
"8710000US3610475","ZCTA5 10475, New York","3768","921","803","2044"
"8710000US3610501","ZCTA5 10501, New York","8","8","0","0"
"8710000US3610502","ZCTA5 10502, New York","73","32","8","33"
"8710000US3610503","ZCTA5 10503, New York","0","0","0","0"
"8710000US3610504","ZCTA5 10504, New York","46","37","0","9"
"8710000US3610505","ZCTA5 10505, New York","0","0","0","0"
"8710000US3610506","ZCTA5 10506, New York","18","9","0","9"
"8710000US3610507","ZCTA5 10507, New York","444","84","1","359"
"8710000US3610509","ZCTA5 10509, New York","696","244","12","440"
"8710000US3610510","ZCTA5 10510, New York","77","47","0","30"
"8710000US3610511","ZCTA5 10511, New York","64","20","0","44"
"8710000US3610512","ZCTA5 10512, New York","747","425","18","304"
"8710000US3610514","ZCTA5 10514, New York","64","45","2","17"
"8710000US3610516","ZCTA5 10516, New York","102","48","3","51"
"8710000US3610517","ZCTA5 10517, New York","38","27","0","11"
"8710000US3610518","ZCTA5 10518, New York","5","5","0","0"
"8710000US3610519","ZCTA5 10519, New York","19","11","0","8"
"8710000US3610520","ZCTA5 10520, New York","337","97","26","214"
"8710000US3610522","ZCTA5 10522, New York","261","39","5","217"
"8710000US3610523","ZCTA5 10523, New York","1103","460","15","628"
"8710000US3610524","ZCTA5 10524, New York","44","25","4","15"
"8710000US3610526","ZCTA5 10526, New York","6","6","0","0"
"8710000US3610527","ZCTA5 10527, New York","0","0","0","0"
"8710000US3610528","ZCTA5 10528, New York","317","43","1","273"
"8710000US3610530","ZCTA5 10530, New York","284","152","18","114"
"8710000US3610532","ZCTA5 10532, New York","108","39","0","69"
"8710000US3610533","ZCTA5 10533, New York","82","55","6","21"
"8710000US3610535","ZCTA5 10535, New York","52","12","10","30"
"8710000US3610536","ZCTA5 10536, New York","173","45","4","124"
"8710000US3610537","ZCTA5 10537, New York","88","56","0","32"
"8710000US3610538","ZCTA5 10538, New York","210","37","17","156"
"8710000US3610541","ZCTA5 10541, New York","516","265","10","241"
"8710000US3610543","ZCTA5 10543, New York","2083","294","17","1772"
"8710000US3610545","ZCTA5 10545, New York","0","0","0","0"
"8710000US3610546","ZCTA5 10546, New York","13","0","0","13"
"8710000US3610547","ZCTA5 10547, New York","287","138","6","143"
"8710000US3610548","ZCTA5 10548, New York","80","42","0","38"
"8710000US3610549","ZCTA5 10549, New York","1734","192","37","1505"
"8710000US3610550","ZCTA5 10550, New York","2649","486","45","2118"
"8710000US3610552","ZCTA5 10552, New York","1110","335","34","741"
"8710000US3610553","ZCTA5 10553, New York","359","102","13","244"
"8710000US3610560","ZCTA5 10560, New York","59","18","2","39"
"8710000US3610562","ZCTA5 10562, New York","4990","1211","45","3734"
"8710000US3610566","ZCTA5 10566, New York","3684","1010","45","2629"
"8710000US3610567","ZCTA5 10567, New York","789","638","26","125"
"8710000US3610570","ZCTA5 10570, New York","261","57","5","199"
"8710000US3610573","ZCTA5 10573, New York","7475","1398","123","5954"
"8710000US3610576","ZCTA5 10576, New York","34","13","4","17"
"8710000US3610577","ZCTA5 10577, New York","14","9","0","5"
"8710000US3610578","ZCTA5 10578, New York","9","0","0","9"
"8710000US3610579","ZCTA5 10579, New York","98","80","1","17"
"8710000US3610580","ZCTA5 10580, New York","157","55","2","100"
"8710000US3610583","ZCTA5 10583, New York","346","133","40","173"
"8710000US3610588","ZCTA5 10588, New York","64","50","1","13"
"8710000US3610589","ZCTA5 10589, New York","19","14","3","2"
"8710000US3610590","ZCTA5 10590, New York","35","26","0","9"
"8710000US3610591","ZCTA5 10591, New York","2968","396","26","2546"
"8710000US3610594","ZCTA5 10594, New York","140","28","2","110"
"8710000US3610595","ZCTA5 10595, New York","115","42","2","71"
"8710000US3610596","ZCTA5 10596, New York","85","26","1","58"
"8710000US3610597","ZCTA5 10597, New York","0","0","0","0"
"8710000US3610598","ZCTA5 10598, New York","435","295","5","135"
"8710000US3610601","ZCTA5 10601, New York","976","84","13","879"
"8710000US3610603","ZCTA5 10603, New York","1521","541","13","967"
"8710000US3610604","ZCTA5 10604, New York","917","216","11","690"
"8710000US3610605","ZCTA5 10605, New York","812","184","19","609"
"8710000US3610606","ZCTA5 10606, New York","2994","639","59","2296"
"8710000US3610607","ZCTA5 10607, New York","778","426","19","333"
"8710000US3610701","ZCTA5 10701, New York","12169","1445","161","10563"
"8710000US3610703","ZCTA5 10703, New York","3229","944","65","2220"
"8710000US3610704","ZCTA5 10704, New York","2267","968","66","1233"
"8710000US3610705","ZCTA5 10705, New York","9118","1228","164","7726"
"8710000US3610706","ZCTA5 10706, New York","186","26","1","159"
"8710000US3610707","ZCTA5 10707, New York","227","71","5","151"
"8710000US3610708","ZCTA5 10708, New York","456","232","40","184"
"8710000US3610709","ZCTA5 10709, New York","142","37","3","102"
"8710000US3610710","ZCTA5 10710, New York","1492","918","68","506"
"8710000US3610801","ZCTA5 10801, New York","3915","865","83","2967"
"8710000US3610803","ZCTA5 10803, New York","325","124","5","196"
"8710000US3610804","ZCTA5 10804, New York","131","107","15","9"
"8710000US3610805","ZCTA5 10805, New York","1437","313","39","1085"
"8710000US3610901","ZCTA5 10901, New York","1015","183","12","820"
"8710000US3610910","ZCTA5 10910, New York","0","0","0","0"
"8710000US3610911","ZCTA5 10911, New York","0","0","0","0"
"8710000US3610913","ZCTA5 10913, New York","101","63","12","26"
"8710000US3610914","ZCTA5 10914, New York","31","25","0","6"
"8710000US3610915","ZCTA5 10915, New York","0","0","0","0"
"8710000US3610916","ZCTA5 10916, New York","71","47","5","19"
"8710000US3610917","ZCTA5 10917, New York","158","33","0","125"
"8710000US3610918","ZCTA5 10918, New York","476","276","12","188"
"8710000US3610919","ZCTA5 10919, New York","42","28","0","14"
"8710000US3610920","ZCTA5 10920, New York","194","113","13","68"
"8710000US3610921","ZCTA5 10921, New York","151","97","6","48"
"8710000US3610922","ZCTA5 10922, New York","72","39","11","22"
"8710000US3610923","ZCTA5 10923, New York","1076","517","5","554"
"8710000US3610924","ZCTA5 10924, New York","471","153","1","317"
"8710000US3610925","ZCTA5 10925, New York","98","70","2","26"
"8710000US3610926","ZCTA5 10926, New York","124","78","2","44"
"8710000US3610927","ZCTA5 10927, New York","3531","839","24","2668"
"8710000US3610928","ZCTA5 10928, New York","396","120","12","264"
"8710000US3610930","ZCTA5 10930, New York","376","216","12","148"
"8710000US3610931","ZCTA5 10931, New York","54","7","0","47"
"8710000US3610932","ZCTA5 10932, New York","0","0","0","0"
"8710000US3610933","ZCTA5 10933, New York","7","7","0","0"
"8710000US3610940","ZCTA5 10940, New York","6692","2023","67","4602"
"8710000US3610941","ZCTA5 10941, New York","895","550","18","327"
"8710000US3610950","ZCTA5 10950, New York","1185","563","18","604"
"8710000US3610952","ZCTA5 10952, New York","291","75","2","214"
"8710000US3610953","ZCTA5 10953, New York","7","5","0","2"
"8710000US3610954","ZCTA5 10954, New York","842","356","74","412"
"8710000US3610956","ZCTA5 10956, New York","695","453","26","216"
"8710000US3610958","ZCTA5 10958, New York","123","50","0","73"
"8710000US3610960","ZCTA5 10960, New York","665","114","13","538"
"8710000US3610962","ZCTA5 10962, New York","154","78","30","46"
"8710000US3610963","ZCTA5 10963, New York","51","32","6","13"
"8710000US3610964","ZCTA5 10964, New York","19","13","0","6"
"8710000US3610965","ZCTA5 10965, New York","225","59","0","166"
"8710000US3610968","ZCTA5 10968, New York","52","17","0","35"
"8710000US3610969","ZCTA5 10969, New York","25","15","0","10"
"8710000US3610970","ZCTA5 10970, New York","662","317","137","208"
"8710000US3610973","ZCTA5 10973, New York","57","24","4","29"
"8710000US3610974","ZCTA5 10974, New York","113","45","0","68"
"8710000US3610975","ZCTA5 10975, New York","6","0","0","6"
"8710000US3610976","ZCTA5 10976, New York","32","7","0","25"
"8710000US3610977","ZCTA5 10977, New York","6294","1074","69","5151"
"8710000US3610979","ZCTA5 10979, New York","3","3","0","0"
"8710000US3610980","ZCTA5 10980, New York","507","303","45","159"
"8710000US3610983","ZCTA5 10983, New York","154","84","19","51"
"8710000US3610984","ZCTA5 10984, New York","147","121","6","20"
"8710000US3610985","ZCTA5 10985, New York","0","0","0","0"
"8710000US3610986","ZCTA5 10986, New York","30","13","5","12"
"8710000US3610987","ZCTA5 10987, New York","24","15","0","9"
"8710000US3610988","ZCTA5 10988, New York","10","10","0","0"
"8710000US3610989","ZCTA5 10989, New York","192","93","6","93"
"8710000US3610990","ZCTA5 10990, New York","414","250","6","158"
"8710000US3610992","ZCTA5 10992, New York","409","345","15","49"
"8710000US3610993","ZCTA5 10993, New York","666","363","9","294"
"8710000US3610994","ZCTA5 10994, New York","96","52","0","44"
"8710000US3610996","ZCTA5 10996, New York","79","0","0","79"
"8710000US3610998","ZCTA5 10998, New York","72","60","1","11"
"8710000US3611001","ZCTA5 11001, New York","950","540","32","378"
"8710000US3611003","ZCTA5 11003, New York","3986","2299","178","1509"
"8710000US3611004","ZCTA5 11004, New York","357","214","41","102"
"8710000US3611005","ZCTA5 11005, New York","1","0","1","0"
"8710000US3611010","ZCTA5 11010, New York","697","413","32","252"
"8710000US3611020","ZCTA5 11020, New York","163","61","8","94"
"8710000US3611021","ZCTA5 11021, New York","332","36","21","275"
"8710000US3611023","ZCTA5 11023, New York","50","12","3","35"
"8710000US3611024","ZCTA5 11024, New York","308","14","0","294"
"8710000US3611030","ZCTA5 11030, New York","84","41","4","39"
"8710000US3611040","ZCTA5 11040, New York","1063","650","70","343"
"8710000US3611042","ZCTA5 11042, New York","0","0","0","0"
"8710000US3611050","ZCTA5 11050, New York","1491","242","33","1216"
"8710000US3611096","ZCTA5 11096, New York","1642","488","24","1130"
"8710000US3611101","ZCTA5 11101, New York","3870","196","33","3641"
"8710000US3611102","ZCTA5 11102, New York","4772","251","61","4460"
"8710000US3611103","ZCTA5 11103, New York","4509","174","26","4309"
"8710000US3611104","ZCTA5 11104, New York","3388","134","56","3198"
"8710000US3611105","ZCTA5 11105, New York","2566","232","44","2290"
"8710000US3611106","ZCTA5 11106, New York","4831","287","100","4444"
"8710000US3611109","ZCTA5 11109, New York","70","4","6","60"
"8710000US3611201","ZCTA5 11201, New York","1572","133","50","1389"
"8710000US3611203","ZCTA5 11203, New York","1122","190","77","855"
"8710000US3611204","ZCTA5 11204, New York","3680","124","46","3510"
"8710000US3611205","ZCTA5 11205, New York","3829","272","113","3444"
"8710000US3611206","ZCTA5 11206, New York","15572","940","304","14328"
"8710000US3611207","ZCTA5 11207, New York","14736","2642","535","11559"
"8710000US3611208","ZCTA5 11208, New York","20785","4810","464","15511"
"8710000US3611209","ZCTA5 11209, New York","3739","234","41","3464"
"8710000US3611210","ZCTA5 11210, New York","1732","317","53","1362"
"8710000US3611211","ZCTA5 11211, New York","10251","433","370","9448"
"8710000US3611212","ZCTA5 11212, New York","5166","205","39","4922"
"8710000US3611213","ZCTA5 11213, New York","2370","95","42","2233"
"8710000US3611214","ZCTA5 11214, New York","5930","301","60","5569"
"8710000US3611215","ZCTA5 11215, New York","3885","501","168","3216"
"8710000US3611216","ZCTA5 11216, New York","2008","150","39","1819"
"8710000US3611217","ZCTA5 11217, New York","2235","181","75","1979"
"8710000US3611218","ZCTA5 11218, New York","6954","735","152","6067"
"8710000US3611219","ZCTA5 11219, New York","5452","209","19","5224"
"8710000US3611220","ZCTA5 11220, New York","20134","1736","505","17893"
"8710000US3611221","ZCTA5 11221, New York","14484","2139","300","12045"
"8710000US3611222","ZCTA5 11222, New York","2258","143","54","2061"
"8710000US3611223","ZCTA5 11223, New York","4796","222","59","4515"
"8710000US3611224","ZCTA5 11224, New York","3176","167","37","2972"
"8710000US3611225","ZCTA5 11225, New York","1850","77","40","1733"
"8710000US3611226","ZCTA5 11226, New York","7786","209","93","7484"
"8710000US3611228","ZCTA5 11228, New York","1969","165","33","1771"
"8710000US3611229","ZCTA5 11229, New York","2395","256","44","2095"
"8710000US3611230","ZCTA5 11230, New York","4243","182","52","4009"
"8710000US3611231","ZCTA5 11231, New York","2387","114","74","2199"
"8710000US3611232","ZCTA5 11232, New York","7275","637","178","6460"
"8710000US3611233","ZCTA5 11233, New York","3598","356","59","3183"
"8710000US3611234","ZCTA5 11234, New York","2422","1102","99","1221"
"8710000US3611235","ZCTA5 11235, New York","3667","337","73","3257"
"8710000US3611236","ZCTA5 11236, New York","2285","619","43","1623"
"8710000US3611237","ZCTA5 11237, New York","19194","1097","260","17837"
"8710000US3611238","ZCTA5 11238, New York","1707","178","52","1477"
"8710000US3611239","ZCTA5 11239, New York","736","10","0","726"
"8710000US3611351","ZCTA5 11351, New York","0","0","0","0"
"8710000US3611354","ZCTA5 11354, New York","3294","367","71","2856"
"8710000US3611355","ZCTA5 11355, New York","5071","488","93","4490"
"8710000US3611356","ZCTA5 11356, New York","3473","859","62","2552"
"8710000US3611357","ZCTA5 11357, New York","1047","336","70","641"
"8710000US3611358","ZCTA5 11358, New York","2242","554","93","1595"
"8710000US3611359","ZCTA5 11359, New York","0","0","0","0"
"8710000US3611360","ZCTA5 11360, New York","395","69","25","301"
"8710000US3611361","ZCTA5 11361, New York","1103","382","62","659"
"8710000US3611362","ZCTA5 11362, New York","338","160","20","158"
"8710000US3611363","ZCTA5 11363, New York","148","38","9","101"
"8710000US3611364","ZCTA5 11364, New York","804","423","62","319"
"8710000US3611365","ZCTA5 11365, New York","2047","403","115","1529"
"8710000US3611366","ZCTA5 11366, New York","515","247","16","252"
"8710000US3611367","ZCTA5 11367, New York","2115","478","87","1550"
"8710000US3611368","ZCTA5 11368, New York","42689","5292","637","36760"
"8710000US3611369","ZCTA5 11369, New York","11444","3532","245","7667"
"8710000US3611370","ZCTA5 11370, New York","5211","1390","133","3688"
"8710000US3611371","ZCTA5 11371, New York","0","0","0","0"
"8710000US3611372","ZCTA5 11372, New York","16269","1706","385","14178"
"8710000US3611373","ZCTA5 11373, New York","19062","1516","315","17231"
"8710000US3611374","ZCTA5 11374, New York","2158","449","104","1605"
