"GEO_ID","NAME","H011H001","H011H002","H011H003","H011H004"
"id","Geographic Area Name","Population in occupied housing units","Population in occupied housing units!!Owned with a mortgage or a loan","Population in occupied housing units!!Owned free and clear","Population in occupied housing units!!Renter occupied"
"8710000US3610311","ZCTA5 10311, New York","0","0","0","0"
"8710000US3610312","ZCTA5 10312, New York","4060","2744","283","1033"
"8710000US3610314","ZCTA5 10314, New York","10026","4510","460","5056"
"8710000US3610451","ZCTA5 10451, New York","26942","992","452","25498"
"8710000US3610452","ZCTA5 10452, New York","51180","832","513","49835"
"8710000US3610453","ZCTA5 10453, New York","51011","1457","376","49178"
"8710000US3610454","ZCTA5 10454, New York","26981","1210","372","25399"
"8710000US3610455","ZCTA5 10455, New York","29286","1742","474","27070"
"8710000US3610456","ZCTA5 10456, New York","47854","2174","478","45202"
"8710000US3610457","ZCTA5 10457, New York","44992","2092","766","42134"
"8710000US3610458","ZCTA5 10458, New York","50226","1363","370","48493"
"8710000US3610459","ZCTA5 10459, New York","32422","2921","639","28862"
"8710000US3610460","ZCTA5 10460, New York","38095","2969","797","34329"
"8710000US3610461","ZCTA5 10461, New York","18432","3409","409","14614"
"8710000US3610462","ZCTA5 10462, New York","34847","5344","1178","28325"
"8710000US3610463","ZCTA5 10463, New York","30664","3360","1302","26002"
"8710000US3610464","ZCTA5 10464, New York","679","221","44","414"
"8710000US3610465","ZCTA5 10465, New York","14881","5163","682","9036"
"8710000US3610466","ZCTA5 10466, New York","15087","2540","426","12121"
"8710000US3610467","ZCTA5 10467, New York","45912","2771","1032","42109"
"8710000US3610468","ZCTA5 10468, New York","52754","1874","639","50241"
"8710000US3610469","ZCTA5 10469, New York","15813","5077","739","9997"
"8710000US3610470","ZCTA5 10470, New York","2346","436","101","1809"
"8710000US3610471","ZCTA5 10471, New York","4093","1299","242","2552"
"8710000US3610472","ZCTA5 10472, New York","42566","3626","1237","37703"
"8710000US3610473","ZCTA5 10473, New York","33770","8639","1748","23383"
"8710000US3610474","ZCTA5 10474, New York","8340","427","214","7699"
"8710000US3610475","ZCTA5 10475, New York","11081","2306","2651","6124"
"8710000US3610501","ZCTA5 10501, New York","59","51","4","4"
"8710000US3610502","ZCTA5 10502, New York","288","166","56","66"
"8710000US3610503","ZCTA5 10503, New York","0","0","0","0"
"8710000US3610504","ZCTA5 10504, New York","293","213","34","46"
"8710000US3610505","ZCTA5 10505, New York","34","34","0","0"
"8710000US3610506","ZCTA5 10506, New York","267","143","30","94"
"8710000US3610507","ZCTA5 10507, New York","1200","287","24","889"
"8710000US3610509","ZCTA5 10509, New York","3019","1128","85","1806"
"8710000US3610510","ZCTA5 10510, New York","391","236","53","102"
"8710000US3610511","ZCTA5 10511, New York","319","133","0","186"
"8710000US3610512","ZCTA5 10512, New York","2762","1887","129","746"
"8710000US3610514","ZCTA5 10514, New York","368","237","34","97"
"8710000US3610516","ZCTA5 10516, New York","267","130","7","130"
"8710000US3610517","ZCTA5 10517, New York","84","44","8","32"
"8710000US3610518","ZCTA5 10518, New York","41","34","0","7"
"8710000US3610519","ZCTA5 10519, New York","31","14","2","15"
"8710000US3610520","ZCTA5 10520, New York","1193","469","61","663"
"8710000US3610522","ZCTA5 10522, New York","821","239","40","542"
"8710000US3610523","ZCTA5 10523, New York","2270","961","69","1240"
"8710000US3610524","ZCTA5 10524, New York","268","199","11","58"
"8710000US3610526","ZCTA5 10526, New York","98","62","0","36"
"8710000US3610527","ZCTA5 10527, New York","28","21","7","0"
"8710000US3610528","ZCTA5 10528, New York","1094","220","27","847"
"8710000US3610530","ZCTA5 10530, New York","1178","733","110","335"
"8710000US3610532","ZCTA5 10532, New York","307","180","2","125"
"8710000US3610533","ZCTA5 10533, New York","394","226","36","132"
"8710000US3610535","ZCTA5 10535, New York","111","30","12","69"
"8710000US3610536","ZCTA5 10536, New York","495","221","18","256"
"8710000US3610537","ZCTA5 10537, New York","348","247","5","96"
"8710000US3610538","ZCTA5 10538, New York","1006","438","80","488"
"8710000US3610541","ZCTA5 10541, New York","2198","1325","109","764"
"8710000US3610543","ZCTA5 10543, New York","4531","1039","93","3399"
"8710000US3610545","ZCTA5 10545, New York","0","0","0","0"
"8710000US3610546","ZCTA5 10546, New York","39","22","0","17"
"8710000US3610547","ZCTA5 10547, New York","1133","620","38","475"
"8710000US3610548","ZCTA5 10548, New York","294","173","23","98"
"8710000US3610549","ZCTA5 10549, New York","3989","570","76","3343"
"8710000US3610550","ZCTA5 10550, New York","5640","1003","109","4528"
"8710000US3610552","ZCTA5 10552, New York","2707","1047","135","1525"
"8710000US3610553","ZCTA5 10553, New York","845","326","12","507"
"8710000US3610560","ZCTA5 10560, New York","300","146","33","121"
"8710000US3610562","ZCTA5 10562, New York","10619","3241","237","7141"
"8710000US3610566","ZCTA5 10566, New York","8579","2791","159","5629"
"8710000US3610567","ZCTA5 10567, New York","2513","1911","147","455"
"8710000US3610570","ZCTA5 10570, New York","902","363","31","508"
"8710000US3610573","ZCTA5 10573, New York","18035","4003","423","13609"
"8710000US3610576","ZCTA5 10576, New York","169","106","7","56"
"8710000US3610577","ZCTA5 10577, New York","90","70","3","17"
"8710000US3610578","ZCTA5 10578, New York","46","14","1","31"
"8710000US3610579","ZCTA5 10579, New York","617","465","20","132"
"8710000US3610580","ZCTA5 10580, New York","918","401","66","451"
"8710000US3610583","ZCTA5 10583, New York","1583","879","213","491"
"8710000US3610588","ZCTA5 10588, New York","250","149","13","88"
"8710000US3610589","ZCTA5 10589, New York","212","160","29","23"
"8710000US3610590","ZCTA5 10590, New York","308","237","19","52"
"8710000US3610591","ZCTA5 10591, New York","7239","1282","148","5809"
"8710000US3610594","ZCTA5 10594, New York","361","126","11","224"
"8710000US3610595","ZCTA5 10595, New York","401","186","27","188"
"8710000US3610596","ZCTA5 10596, New York","221","79","9","133"
"8710000US3610597","ZCTA5 10597, New York","23","15","0","8"
"8710000US3610598","ZCTA5 10598, New York","1880","1391","139","350"
"8710000US3610601","ZCTA5 10601, New York","2835","376","87","2372"
"8710000US3610603","ZCTA5 10603, New York","3750","1448","127","2175"
"8710000US3610604","ZCTA5 10604, New York","2526","580","59","1887"
"8710000US3610605","ZCTA5 10605, New York","2766","894","138","1734"
"8710000US3610606","ZCTA5 10606, New York","7424","1642","212","5570"
"8710000US3610607","ZCTA5 10607, New York","1625","994","55","576"
"8710000US3610701","ZCTA5 10701, New York","26692","3497","433","22762"
"8710000US3610703","ZCTA5 10703, New York","6787","2155","179","4453"
"8710000US3610704","ZCTA5 10704, New York","5815","2573","330","2912"
"8710000US3610705","ZCTA5 10705, New York","20198","3093","396","16709"
"8710000US3610706","ZCTA5 10706, New York","598","200","19","379"
"8710000US3610707","ZCTA5 10707, New York","878","362","39","477"
"8710000US3610708","ZCTA5 10708, New York","1771","971","195","605"
"8710000US3610709","ZCTA5 10709, New York","649","306","32","311"
"8710000US3610710","ZCTA5 10710, New York","4315","2768","276","1271"
"8710000US3610801","ZCTA5 10801, New York","14495","3306","324","10865"
"8710000US3610803","ZCTA5 10803, New York","1051","539","45","467"
"8710000US3610804","ZCTA5 10804, New York","608","485","69","54"
"8710000US3610805","ZCTA5 10805, New York","5304","1121","215","3968"
"8710000US3610901","ZCTA5 10901, New York","2579","866","126","1587"
"8710000US3610910","ZCTA5 10910, New York","0","0","0","0"
"8710000US3610911","ZCTA5 10911, New York","0","0","0","0"
"8710000US3610913","ZCTA5 10913, New York","367","253","38","76"
"8710000US3610914","ZCTA5 10914, New York","36","30","0","6"
"8710000US3610915","ZCTA5 10915, New York","7","0","5","2"
"8710000US3610916","ZCTA5 10916, New York","286","209","22","55"
"8710000US3610917","ZCTA5 10917, New York","264","80","7","177"
"8710000US3610918","ZCTA5 10918, New York","1272","907","46","319"
"8710000US3610919","ZCTA5 10919, New York","129","108","0","21"
"8710000US3610920","ZCTA5 10920, New York","875","545","39","291"
"8710000US3610921","ZCTA5 10921, New York","486","359","24","103"
"8710000US3610922","ZCTA5 10922, New York","136","80","18","38"
"8710000US3610923","ZCTA5 10923, New York","2645","1257","56","1332"
"8710000US3610924","ZCTA5 10924, New York","1414","693","30","691"
"8710000US3610925","ZCTA5 10925, New York","470","332","26","112"
"8710000US3610926","ZCTA5 10926, New York","493","290","23","180"
"8710000US3610927","ZCTA5 10927, New York","7852","2310","116","5426"
"8710000US3610928","ZCTA5 10928, New York","740","248","29","463"
"8710000US3610930","ZCTA5 10930, New York","1088","791","41","256"
"8710000US3610931","ZCTA5 10931, New York","179","32","7","140"
"8710000US3610932","ZCTA5 10932, New York","1","1","0","0"
"8710000US3610933","ZCTA5 10933, New York","34","28","2","4"
"8710000US3610940","ZCTA5 10940, New York","14404","5532","279","8593"
"8710000US3610941","ZCTA5 10941, New York","2711","1674","106","931"
"8710000US3610950","ZCTA5 10950, New York","4279","2727","203","1349"
"8710000US3610952","ZCTA5 10952, New York","1383","580","55","748"
"8710000US3610953","ZCTA5 10953, New York","13","11","0","2"
"8710000US3610954","ZCTA5 10954, New York","2696","1418","222","1056"
"8710000US3610956","ZCTA5 10956, New York","2485","1724","144","617"
"8710000US3610958","ZCTA5 10958, New York","329","207","10","112"
"8710000US3610960","ZCTA5 10960, New York","1721","404","38","1279"
"8710000US3610962","ZCTA5 10962, New York","484","265","106","113"
"8710000US3610963","ZCTA5 10963, New York","289","242","8","39"
"8710000US3610964","ZCTA5 10964, New York","68","54","8","6"
"8710000US3610965","ZCTA5 10965, New York","931","330","42","559"
"8710000US3610968","ZCTA5 10968, New York","248","81","8","159"
"8710000US3610969","ZCTA5 10969, New York","115","47","3","65"
"8710000US3610970","ZCTA5 10970, New York","1684","834","335","515"
"8710000US3610973","ZCTA5 10973, New York","185","128","20","37"
"8710000US3610974","ZCTA5 10974, New York","375","172","22","181"
"8710000US3610975","ZCTA5 10975, New York","23","10","1","12"
"8710000US3610976","ZCTA5 10976, New York","184","70","13","101"
"8710000US3610977","ZCTA5 10977, New York","12714","2768","191","9755"
"8710000US3610979","ZCTA5 10979, New York","17","13","0","4"
"8710000US3610980","ZCTA5 10980, New York","1564","1023","146","395"
"8710000US3610983","ZCTA5 10983, New York","488","305","62","121"
"8710000US3610984","ZCTA5 10984, New York","503","398","36","69"
"8710000US3610985","ZCTA5 10985, New York","1","0","0","1"
"8710000US3610986","ZCTA5 10986, New York","119","70","8","41"
"8710000US3610987","ZCTA5 10987, New York","205","120","6","79"
"8710000US3610988","ZCTA5 10988, New York","53","36","4","13"
"8710000US3610989","ZCTA5 10989, New York","862","569","44","249"
"8710000US3610990","ZCTA5 10990, New York","1541","1010","53","478"
"8710000US3610992","ZCTA5 10992, New York","1382","1135","102","145"
"8710000US3610993","ZCTA5 10993, New York","1968","1176","41","751"
"8710000US3610994","ZCTA5 10994, New York","462","284","46","132"
"8710000US3610996","ZCTA5 10996, New York","187","0","0","187"
"8710000US3610998","ZCTA5 10998, New York","244","185","16","43"
"8710000US3611001","ZCTA5 11001, New York","2773","1811","178","784"
"8710000US3611003","ZCTA5 11003, New York","8350","5058","381","2911"
"8710000US3611004","ZCTA5 11004, New York","1284","762","172","350"
"8710000US3611005","ZCTA5 11005, New York","13","5","7","1"
"8710000US3611010","ZCTA5 11010, New York","2525","1775","199","551"
"8710000US3611020","ZCTA5 11020, New York","454","194","33","227"
"8710000US3611021","ZCTA5 11021, New York","1098","269","76","753"
"8710000US3611023","ZCTA5 11023, New York","367","101","25","241"
"8710000US3611024","ZCTA5 11024, New York","614","43","19","552"
"8710000US3611030","ZCTA5 11030, New York","596","350","108","138"
"8710000US3611040","ZCTA5 11040, New York","3321","2187","300","834"
"8710000US3611042","ZCTA5 11042, New York","0","0","0","0"
"8710000US3611050","ZCTA5 11050, New York","4274","887","145","3242"
"8710000US3611096","ZCTA5 11096, New York","3684","1172","102","2410"
"8710000US3611101","ZCTA5 11101, New York","8505","487","121","7897"
"8710000US3611102","ZCTA5 11102, New York","10140","550","165","9425"
"8710000US3611103","ZCTA5 11103, New York","9431","476","147","8808"
"8710000US3611104","ZCTA5 11104, New York","7892","531","159","7202"
"8710000US3611105","ZCTA5 11105, New York","6824","689","291","5844"
"8710000US3611106","ZCTA5 11106, New York","11012","796","296","9920"
"8710000US3611109","ZCTA5 11109, New York","285","54","12","219"
"8710000US3611201","ZCTA5 11201, New York","5357","823","359","4175"
"8710000US3611203","ZCTA5 11203, New York","4136","1057","321","2758"
"8710000US3611204","ZCTA5 11204, New York","7736","366","177","7193"
"8710000US3611205","ZCTA5 11205, New York","7989","633","240","7116"
"8710000US3611206","ZCTA5 11206, New York","35033","2062","781","32190"
"8710000US3611207","ZCTA5 11207, New York","32013","5673","1202","25138"
"8710000US3611208","ZCTA5 11208, New York","40639","8859","1283","30497"
"8710000US3611209","ZCTA5 11209, New York","9674","1007","258","8409"
"8710000US3611210","ZCTA5 11210, New York","4892","1061","199","3632"
"8710000US3611211","ZCTA5 11211, New York","23214","1219","855","21140"
"8710000US3611212","ZCTA5 11212, New York","13380","814","278","12288"
"8710000US3611213","ZCTA5 11213, New York","6427","328","164","5935"
"8710000US3611214","ZCTA5 11214, New York","11436","742","204","10490"
"8710000US3611215","ZCTA5 11215, New York","10698","1898","679","8121"
"8710000US3611216","ZCTA5 11216, New York","5719","594","109","5016"
"8710000US3611217","ZCTA5 11217, New York","6771","787","278","5706"
"8710000US3611218","ZCTA5 11218, New York","14835","1758","414","12663"
"8710000US3611219","ZCTA5 11219, New York","10695","449","110","10136"
"8710000US3611220","ZCTA5 11220, New York","40466","3926","1507","35033"
"8710000US3611221","ZCTA5 11221, New York","30335","4551","714","25070"
"8710000US3611222","ZCTA5 11222, New York","5514","453","234","4827"
"8710000US3611223","ZCTA5 11223, New York","10003","687","230","9086"
"8710000US3611224","ZCTA5 11224, New York","8337","627","193","7517"
"8710000US3611225","ZCTA5 11225, New York","5957","374","154","5429"
"8710000US3611226","ZCTA5 11226, New York","17509","705","210","16594"
"8710000US3611228","ZCTA5 11228, New York","4162","596","146","3420"
"8710000US3611229","ZCTA5 11229, New York","6083","957","291","4835"
"8710000US3611230","ZCTA5 11230, New York","8453","593","228","7632"
"8710000US3611231","ZCTA5 11231, New York","6846","623","288","5935"
"8710000US3611232","ZCTA5 11232, New York","15086","1566","557","12963"
"8710000US3611233","ZCTA5 11233, New York","9348","1031","174","8143"
"8710000US3611234","ZCTA5 11234, New York","7134","3498","436","3200"
"8710000US3611235","ZCTA5 11235, New York","7493","906","277","6310"
"8710000US3611236","ZCTA5 11236, New York","7083","2230","187","4666"
"8710000US3611237","ZCTA5 11237, New York","36158","2240","531","33387"
"8710000US3611238","ZCTA5 11238, New York","5192","755","217","4220"
"8710000US3611239","ZCTA5 11239, New York","2255","41","0","2214"
"8710000US3611351","ZCTA5 11351, New York","0","0","0","0"
"8710000US3611354","ZCTA5 11354, New York","8582","1129","433","7020"
"8710000US3611355","ZCTA5 11355, New York","12851","1403","419","11029"
"8710000US3611356","ZCTA5 11356, New York","8249","2438","210","5601"
"8710000US3611357","ZCTA5 11357, New York","3998","1846","426","1726"
"8710000US3611358","ZCTA5 11358, New York","5848","1814","370","3664"
"8710000US3611359","ZCTA5 11359, New York","0","0","0","0"
"8710000US3611360","ZCTA5 11360, New York","1382","416","210","756"
"8710000US3611361","ZCTA5 11361, New York","3357","1380","201","1776"
"8710000US3611362","ZCTA5 11362, New York","1218","632","179","407"
"8710000US3611363","ZCTA5 11363, New York","538","234","53","251"
"8710000US3611364","ZCTA5 11364, New York","2686","1388","335","963"
"8710000US3611365","ZCTA5 11365, New York","5724","1286","418","4020"
"8710000US3611366","ZCTA5 11366, New York","1449","594","135","720"
"8710000US3611367","ZCTA5 11367, New York","6237","1639","348","4250"
"8710000US3611368","ZCTA5 11368, New York","81674","10982","1538","69154"
"8710000US3611369","ZCTA5 11369, New York","24845","8358","865","15622"
"8710000US3611370","ZCTA5 11370, New York","12738","3724","551","8463"
"8710000US3611371","ZCTA5 11371, New York","0","0","0","0"
"8710000US3611372","ZCTA5 11372, New York","38152","4944","1612","31596"
"8710000US3611373","ZCTA5 11373, New York","43065","3904","1183","37978"
"8710000US3611374","ZCTA5 11374, New York","6854","1550","478","4826"
"8710000US3611375","ZCTA5 11375, New York","7911","2317","726","4868"
"8710000US3611377","ZCTA5 11377, New York","33588","4411","1237","27940"
"8710000US3611378","ZCTA5 11378, New York","9409","2630","267","6512"
"8710000US3611379","ZCTA5 11379, New York","5339","1599","204","3536"
"8710000US3611385","ZCTA5 11385, New York","42505","7573","744","34188"
"8710000US3611411","ZCTA5 11411, New York","920","617","112","191"
"8710000US3611412","ZCTA5 11412, New York","1892","1104","100","688"
"8710000US3611413","ZCTA5 11413, New York","2327","1320","247","760"
"8710000US3611414","ZCTA5 11414, New York","3981","1623","298","2060"
"8710000US3611415","ZCTA5 11415, New York","4443","935","148","3360"
"8710000US3611416","ZCTA5 11416, New York","11005","3741","247","7017"
"8710000US3611417","ZCTA5 11417, New York","10143","4600","263","5280"
"8710000US3611418","ZCTA5 11418, New York","15349","4791","514","10044"
"8710000US3611419","ZCTA5 11419, New York","9488","3458","671","5359"
"8710000US3611420","ZCTA5 11420, New York","9711","4937","531","4243"
"8710000US3611421","ZCTA5 11421, New York","21984","9319","494","12171"
"8710000US3611422","ZCTA5 11422, New York","2507","1525","128","854"
"8710000US3611423","ZCTA5 11423, New York","4905","1835","461","2609"
"8710000US3611424","ZCTA5 11424, New York","0","0","0","0"
"8710000US3611425","ZCTA5 11425, New York","0","0","0","0"
"8710000US3611426","ZCTA5 11426, New York","2705","1827","192","686"
"8710000US3611427","ZCTA5 11427, New York","3780","1787","334","1659"
"8710000US3611428","ZCTA5 11428, New York","4693","2617","319","1757"
"8710000US3611429","ZCTA5 11429, New York","3079","1679","214","1186"
"8710000US3611430","ZCTA5 11430, New York","0","0","0","0"
"8710000US3611432","ZCTA5 11432, New York","14365","2008","694","11663"
"8710000US3611433","ZCTA5 11433, New York","5159","1603","196","3360"
"8710000US3611434","ZCTA5 11434, New York","4339","1952","267","2120"
"8710000US3611435","ZCTA5 11435, New York","17155","3109","654","13392"
"8710000US3611436","ZCTA5 11436, New York","2111","1255","70","786"
"8710000US3611451","ZCTA5 11451, New York","0","0","0","0"
"8710000US3611501","ZCTA5 11501, New York","3085","959","174","1952"
"8710000US3611507","ZCTA5 11507, New York","400","276","36","88"
"8710000US3611509","ZCTA5 11509, New York","96","46","24","26"
"8710000US3611510","ZCTA5 11510, New York","5776","4044","269","1463"
"8710000US3611514","ZCTA5 11514, New York","484","189","54","241"
"8710000US3611516","ZCTA5 11516, New York","719","139","38","542"
"8710000US3611518","ZCTA5 11518, New York","741","362","55","324"
"8710000US3611520","ZCTA5 11520, New York","17855","8058","695","9102"
"8710000US3611530","ZCTA5 11530, New York","1010","674","143","193"
"8710000US3611542","ZCTA5 11542, New York","7302","1801","191","5310"
"8710000US3611545","ZCTA5 11545, New York","637","350","53","234"
"8710000US3611547","ZCTA5 11547, New York","59","21","8","30"
"8710000US3611548","ZCTA5 11548, New York","142","33","2","107"
"8710000US3611549","ZCTA5 11549, New York","0","0","0","0"
"8710000US3611550","ZCTA5 11550, New York","24198","9026","659","14513"
"8710000US3611552","ZCTA5 11552, New York","3490","2505","175","810"
"8710000US3611553","ZCTA5 11553, New York","9669","7038","303","2328"
"8710000US3611554","ZCTA5 11554, New York","3966","2939","215","812"
"8710000US3611556","ZCTA5 11556, New York","0","0","0","0"
"8710000US3611557","ZCTA5 11557, New York","590","254","46","290"
"8710000US3611558","ZCTA5 11558, New York","1587","750","97","740"
"8710000US3611559","ZCTA5 11559, New York","702","174","52","476"
"8710000US3611560","ZCTA5 11560, New York","691","264","31","396"
"8710000US3611561","ZCTA5 11561, New York","4505","1503","219","2783"
"8710000US3611563","ZCTA5 11563, New York","2641","1374","141","1126"
"8710000US3611565","ZCTA5 11565, New York","681","508","40","133"
"8710000US3611566","ZCTA5 11566, New York","1865","1438","167","260"
"8710000US3611568","ZCTA5 11568, New York","80","21","11","48"
"8710000US3611569","ZCTA5 11569, New York","37","31","3","3"
"8710000US3611570","ZCTA5 11570, New York","2385","903","112","1370"
"8710000US3611572","ZCTA5 11572, New York","2586","1517","201","868"
"8710000US3611575","ZCTA5 11575, New York","5395","3148","178","2069"
"8710000US3611576","ZCTA5 11576, New York","564","217","47","300"
"8710000US3611577","ZCTA5 11577, New York","692","400","41","251"
"8710000US3611579","ZCTA5 11579, New York","304","150","23","131"
"8710000US3611580","ZCTA5 11580, New York","8247","6111","350","1786"
"8710000US3611581","ZCTA5 11581, New York","2707","1974","148","585"
"8710000US3611590","ZCTA5 11590, New York","13598","6876","522","6200"
"8710000US3611596","ZCTA5 11596, New York","500","281","48","171"
"8710000US3611598","ZCTA5 11598, New York","609","188","39","382"
"8710000US3611691","ZCTA5 11691, New York","14647","1688","250","12709"
"8710000US3611692","ZCTA5 11692, New York","3925","776","152","2997"
"8710000US3611693","ZCTA5 11693, New York","2094","457","150","1487"
"8710000US3611694","ZCTA5 11694, New York","2157","467","58","1632"
"8710000US3611697","ZCTA5 11697, New York","78","41","29","8"
"8710000US3611701","ZCTA5 11701, New York","5827","3320","346","2161"
"8710000US3611702","ZCTA5 11702, New York","891","473","58","360"
"8710000US3611703","ZCTA5 11703, New York","1870","1438","93","339"
"8710000US3611704","ZCTA5 11704, New York","4788","3189","230","1369"
"8710000US3611705","ZCTA5 11705, New York","341","158","31","152"
"8710000US3611706","ZCTA5 11706, New York","23611","14978","1021","7612"
"8710000US3611709","ZCTA5 11709, New York","354","120","7","227"
"8710000US3611710","ZCTA5 11710, New York","2069","1462","171","436"
"8710000US3611713","ZCTA5 11713, New York","2041","1210","42","789"
"8710000US3611714","ZCTA5 11714, New York","1478","980","125","373"
"8710000US3611715","ZCTA5 11715, New York","165","122","9","34"
"8710000US3611716","ZCTA5 11716, New York","587","338","42","207"
"8710000US3611717","ZCTA5 11717, New York","41911","28424","1576","11911"
"8710000US3611718","ZCTA5 11718, New York","130","103","9","18"
"8710000US3611719","ZCTA5 11719, New York","174","119","23","32"
"8710000US3611720","ZCTA5 11720, New York","3058","2255","162","641"
"8710000US3611721","ZCTA5 11721, New York","152","118","17","17"
"8710000US3611722","ZCTA5 11722, New York","18232","12207","701","5324"
"8710000US3611724","ZCTA5 11724, New York","100","67","22","11"
"8710000US3611725","ZCTA5 11725, New York","1198","858","136","204"
"8710000US3611726","ZCTA5 11726, New York","7517","4446","214","2857"
