"GEO_ID","NAME","H011G001","H011G002","H011G003","H011G004"
"id","Geographic Area Name","Population in occupied housing units","Population in occupied housing units!!Owned with a mortgage or a loan","Population in occupied housing units!!Owned free and clear","Population in occupied housing units!!Renter occupied"
"8710000US3610607","ZCTA5 10607, New York","191","101","34","56"
"8710000US3610701","ZCTA5 10701, New York","2829","414","84","2331"
"8710000US3610703","ZCTA5 10703, New York","672","259","32","381"
"8710000US3610704","ZCTA5 10704, New York","683","288","62","333"
"8710000US3610705","ZCTA5 10705, New York","2233","426","37","1770"
"8710000US3610706","ZCTA5 10706, New York","136","68","18","50"
"8710000US3610707","ZCTA5 10707, New York","137","16","17","104"
"8710000US3610708","ZCTA5 10708, New York","250","118","30","102"
"8710000US3610709","ZCTA5 10709, New York","68","40","5","23"
"8710000US3610710","ZCTA5 10710, New York","728","417","51","260"
"8710000US3610801","ZCTA5 10801, New York","1553","341","49","1163"
"8710000US3610803","ZCTA5 10803, New York","224","124","14","86"
"8710000US3610804","ZCTA5 10804, New York","125","88","22","15"
"8710000US3610805","ZCTA5 10805, New York","534","121","37","376"
"8710000US3610901","ZCTA5 10901, New York","287","159","28","100"
"8710000US3610910","ZCTA5 10910, New York","0","0","0","0"
"8710000US3610911","ZCTA5 10911, New York","0","0","0","0"
"8710000US3610913","ZCTA5 10913, New York","48","13","21","14"
"8710000US3610914","ZCTA5 10914, New York","4","4","0","0"
"8710000US3610915","ZCTA5 10915, New York","2","0","0","2"
"8710000US3610916","ZCTA5 10916, New York","52","48","4","0"
"8710000US3610917","ZCTA5 10917, New York","18","18","0","0"
"8710000US3610918","ZCTA5 10918, New York","202","146","15","41"
"8710000US3610919","ZCTA5 10919, New York","8","6","0","2"
"8710000US3610920","ZCTA5 10920, New York","123","64","26","33"
"8710000US3610921","ZCTA5 10921, New York","54","51","0","3"
"8710000US3610922","ZCTA5 10922, New York","43","26","11","6"
"8710000US3610923","ZCTA5 10923, New York","253","141","9","103"
"8710000US3610924","ZCTA5 10924, New York","213","138","10","65"
"8710000US3610925","ZCTA5 10925, New York","63","39","1","23"
"8710000US3610926","ZCTA5 10926, New York","75","47","7","21"
"8710000US3610927","ZCTA5 10927, New York","810","258","9","543"
"8710000US3610928","ZCTA5 10928, New York","99","34","1","64"
"8710000US3610930","ZCTA5 10930, New York","126","97","11","18"
"8710000US3610931","ZCTA5 10931, New York","110","61","16","33"
"8710000US3610932","ZCTA5 10932, New York","0","0","0","0"
"8710000US3610933","ZCTA5 10933, New York","8","8","0","0"
"8710000US3610940","ZCTA5 10940, New York","1548","725","23","800"
"8710000US3610941","ZCTA5 10941, New York","390","219","11","160"
"8710000US3610950","ZCTA5 10950, New York","500","332","46","122"
"8710000US3610952","ZCTA5 10952, New York","298","155","12","131"
"8710000US3610953","ZCTA5 10953, New York","0","0","0","0"
"8710000US3610954","ZCTA5 10954, New York","416","300","34","82"
"8710000US3610956","ZCTA5 10956, New York","499","368","24","107"
"8710000US3610958","ZCTA5 10958, New York","23","13","0","10"
"8710000US3610960","ZCTA5 10960, New York","278","116","6","156"
"8710000US3610962","ZCTA5 10962, New York","76","51","15","10"
"8710000US3610963","ZCTA5 10963, New York","24","16","2","6"
"8710000US3610964","ZCTA5 10964, New York","17","13","2","2"
"8710000US3610965","ZCTA5 10965, New York","95","45","4","46"
"8710000US3610968","ZCTA5 10968, New York","36","9","0","27"
"8710000US3610969","ZCTA5 10969, New York","15","14","0","1"
"8710000US3610970","ZCTA5 10970, New York","236","147","29","60"
"8710000US3610973","ZCTA5 10973, New York","42","38","0","4"
"8710000US3610974","ZCTA5 10974, New York","50","24","7","19"
"8710000US3610975","ZCTA5 10975, New York","4","4","0","0"
"8710000US3610976","ZCTA5 10976, New York","22","11","0","11"
"8710000US3610977","ZCTA5 10977, New York","1778","548","52","1178"
"8710000US3610979","ZCTA5 10979, New York","7","7","0","0"
"8710000US3610980","ZCTA5 10980, New York","202","119","19","64"
"8710000US3610983","ZCTA5 10983, New York","78","56","5","17"
"8710000US3610984","ZCTA5 10984, New York","43","30","6","7"
"8710000US3610985","ZCTA5 10985, New York","0","0","0","0"
"8710000US3610986","ZCTA5 10986, New York","14","14","0","0"
"8710000US3610987","ZCTA5 10987, New York","48","44","0","4"
"8710000US3610988","ZCTA5 10988, New York","11","11","0","0"
"8710000US3610989","ZCTA5 10989, New York","167","122","19","26"
"8710000US3610990","ZCTA5 10990, New York","253","163","20","70"
"8710000US3610992","ZCTA5 10992, New York","150","110","24","16"
"8710000US3610993","ZCTA5 10993, New York","250","164","3","83"
"8710000US3610994","ZCTA5 10994, New York","109","81","14","14"
"8710000US3610996","ZCTA5 10996, New York","49","0","0","49"
"8710000US3610998","ZCTA5 10998, New York","42","22","2","18"
"8710000US3611001","ZCTA5 11001, New York","623","446","53","124"
"8710000US3611003","ZCTA5 11003, New York","1667","1217","73","377"
"8710000US3611004","ZCTA5 11004, New York","494","330","67","97"
"8710000US3611005","ZCTA5 11005, New York","7","2","2","3"
"8710000US3611010","ZCTA5 11010, New York","266","201","16","49"
"8710000US3611020","ZCTA5 11020, New York","90","59","18","13"
"8710000US3611021","ZCTA5 11021, New York","339","158","52","129"
"8710000US3611023","ZCTA5 11023, New York","309","192","59","58"
"8710000US3611024","ZCTA5 11024, New York","460","269","92","99"
"8710000US3611030","ZCTA5 11030, New York","142","81","38","23"
"8710000US3611040","ZCTA5 11040, New York","891","656","112","123"
"8710000US3611042","ZCTA5 11042, New York","0","0","0","0"
"8710000US3611050","ZCTA5 11050, New York","693","159","50","484"
"8710000US3611096","ZCTA5 11096, New York","374","127","8","239"
"8710000US3611101","ZCTA5 11101, New York","1128","91","39","998"
"8710000US3611102","ZCTA5 11102, New York","1450","110","27","1313"
"8710000US3611103","ZCTA5 11103, New York","1408","85","24","1299"
"8710000US3611104","ZCTA5 11104, New York","1102","109","40","953"
"8710000US3611105","ZCTA5 11105, New York","1088","120","26","942"
"8710000US3611106","ZCTA5 11106, New York","1541","138","25","1378"
"8710000US3611109","ZCTA5 11109, New York","126","23","4","99"
"8710000US3611201","ZCTA5 11201, New York","1320","269","94","957"
"8710000US3611203","ZCTA5 11203, New York","1573","544","125","904"
"8710000US3611204","ZCTA5 11204, New York","1147","135","39","973"
"8710000US3611205","ZCTA5 11205, New York","1409","184","47","1178"
"8710000US3611206","ZCTA5 11206, New York","3487","221","62","3204"
"8710000US3611207","ZCTA5 11207, New York","3819","869","144","2806"
"8710000US3611208","ZCTA5 11208, New York","5164","1463","240","3461"
"8710000US3611209","ZCTA5 11209, New York","1862","295","78","1489"
"8710000US3611210","ZCTA5 11210, New York","1329","369","76","884"
"8710000US3611211","ZCTA5 11211, New York","2860","225","96","2539"
"8710000US3611212","ZCTA5 11212, New York","2292","173","37","2082"
"8710000US3611213","ZCTA5 11213, New York","1687","190","49","1448"
"8710000US3611214","ZCTA5 11214, New York","1617","217","77","1323"
"8710000US3611215","ZCTA5 11215, New York","2054","394","97","1563"
"8710000US3611216","ZCTA5 11216, New York","1729","272","64","1393"
"8710000US3611217","ZCTA5 11217, New York","1380","258","84","1038"
"8710000US3611218","ZCTA5 11218, New York","2747","498","129","2120"
"8710000US3611219","ZCTA5 11219, New York","1534","104","79","1351"
"8710000US3611220","ZCTA5 11220, New York","3657","440","159","3058"
"8710000US3611221","ZCTA5 11221, New York","3416","562","124","2730"
"8710000US3611222","ZCTA5 11222, New York","1002","79","41","882"
"8710000US3611223","ZCTA5 11223, New York","1625","298","56","1271"
"8710000US3611224","ZCTA5 11224, New York","1203","173","52","978"
"8710000US3611225","ZCTA5 11225, New York","1628","157","63","1408"
"8710000US3611226","ZCTA5 11226, New York","3354","295","52","3007"
"8710000US3611228","ZCTA5 11228, New York","605","178","47","380"
"8710000US3611229","ZCTA5 11229, New York","1347","254","86","1007"
"8710000US3611230","ZCTA5 11230, New York","1620","195","61","1364"
"8710000US3611231","ZCTA5 11231, New York","1044","198","83","763"
"8710000US3611232","ZCTA5 11232, New York","1660","178","65","1417"
"8710000US3611233","ZCTA5 11233, New York","1944","337","39","1568"
"8710000US3611234","ZCTA5 11234, New York","1679","941","134","604"
"8710000US3611235","ZCTA5 11235, New York","1404","309","64","1031"
"8710000US3611236","ZCTA5 11236, New York","1880","698","62","1120"
"8710000US3611237","ZCTA5 11237, New York","3296","215","61","3020"
"8710000US3611238","ZCTA5 11238, New York","1834","324","117","1393"
"8710000US3611239","ZCTA5 11239, New York","340","0","2","338"
"8710000US3611351","ZCTA5 11351, New York","0","0","0","0"
"8710000US3611354","ZCTA5 11354, New York","1485","269","88","1128"
"8710000US3611355","ZCTA5 11355, New York","2717","508","177","2032"
"8710000US3611356","ZCTA5 11356, New York","921","279","32","610"
"8710000US3611357","ZCTA5 11357, New York","543","254","56","233"
"8710000US3611358","ZCTA5 11358, New York","869","309","90","470"
"8710000US3611359","ZCTA5 11359, New York","0","0","0","0"
"8710000US3611360","ZCTA5 11360, New York","220","68","19","133"
"8710000US3611361","ZCTA5 11361, New York","500","248","51","201"
"8710000US3611362","ZCTA5 11362, New York","253","146","54","53"
"8710000US3611363","ZCTA5 11363, New York","87","46","9","32"
"8710000US3611364","ZCTA5 11364, New York","526","251","80","195"
"8710000US3611365","ZCTA5 11365, New York","1369","363","120","886"
"8710000US3611366","ZCTA5 11366, New York","378","199","50","129"
"8710000US3611367","ZCTA5 11367, New York","1676","508","132","1036"
"8710000US3611368","ZCTA5 11368, New York","7633","1289","256","6088"
"8710000US3611369","ZCTA5 11369, New York","2513","938","158","1417"
"8710000US3611370","ZCTA5 11370, New York","1304","443","62","799"
"8710000US3611371","ZCTA5 11371, New York","0","0","0","0"
"8710000US3611372","ZCTA5 11372, New York","3675","599","218","2858"
"8710000US3611373","ZCTA5 11373, New York","4937","687","279","3971"
"8710000US3611374","ZCTA5 11374, New York","1394","395","121","878"
"8710000US3611375","ZCTA5 11375, New York","1619","458","174","987"
"8710000US3611377","ZCTA5 11377, New York","4652","848","200","3604"
"8710000US3611378","ZCTA5 11378, New York","802","239","32","531"
"8710000US3611379","ZCTA5 11379, New York","547","222","33","292"
"8710000US3611385","ZCTA5 11385, New York","3607","651","69","2887"
"8710000US3611411","ZCTA5 11411, New York","398","275","54","69"
"8710000US3611412","ZCTA5 11412, New York","977","630","102","245"
"8710000US3611413","ZCTA5 11413, New York","918","550","104","264"
"8710000US3611414","ZCTA5 11414, New York","356","175","40","141"
"8710000US3611415","ZCTA5 11415, New York","879","204","56","619"
"8710000US3611416","ZCTA5 11416, New York","2030","916","76","1038"
"8710000US3611417","ZCTA5 11417, New York","2369","1313","100","956"
"8710000US3611418","ZCTA5 11418, New York","3019","1179","180","1660"
"8710000US3611419","ZCTA5 11419, New York","7330","3764","434","3132"
"8710000US3611420","ZCTA5 11420, New York","5255","3224","321","1710"
"8710000US3611421","ZCTA5 11421, New York","2754","1396","82","1276"
"8710000US3611422","ZCTA5 11422, New York","782","453","44","285"
"8710000US3611423","ZCTA5 11423, New York","2485","1459","250","776"
"8710000US3611424","ZCTA5 11424, New York","0","0","0","0"
"8710000US3611425","ZCTA5 11425, New York","0","0","0","0"
"8710000US3611426","ZCTA5 11426, New York","881","612","57","212"
"8710000US3611427","ZCTA5 11427, New York","1283","818","98","367"
"8710000US3611428","ZCTA5 11428, New York","1922","1342","163","417"
"8710000US3611429","ZCTA5 11429, New York","945","557","71","317"
"8710000US3611430","ZCTA5 11430, New York","0","0","0","0"
"8710000US3611432","ZCTA5 11432, New York","3743","1062","245","2436"
"8710000US3611433","ZCTA5 11433, New York","1346","654","78","614"
"8710000US3611434","ZCTA5 11434, New York","1768","852","183","733"
"8710000US3611435","ZCTA5 11435, New York","3801","1115","225","2461"
"8710000US3611436","ZCTA5 11436, New York","1051","707","91","253"
"8710000US3611451","ZCTA5 11451, New York","0","0","0","0"
"8710000US3611501","ZCTA5 11501, New York","404","160","40","204"
"8710000US3611507","ZCTA5 11507, New York","170","125","22","23"
"8710000US3611509","ZCTA5 11509, New York","3","0","0","3"
"8710000US3611510","ZCTA5 11510, New York","907","626","81","200"
"8710000US3611514","ZCTA5 11514, New York","84","39","3","42"
"8710000US3611516","ZCTA5 11516, New York","81","34","14","33"
"8710000US3611518","ZCTA5 11518, New York","70","37","4","29"
"8710000US3611520","ZCTA5 11520, New York","2128","1057","112","959"
"8710000US3611530","ZCTA5 11530, New York","160","92","34","34"
"8710000US3611542","ZCTA5 11542, New York","711","198","23","490"
"8710000US3611545","ZCTA5 11545, New York","142","99","6","37"
"8710000US3611547","ZCTA5 11547, New York","4","4","0","0"
"8710000US3611548","ZCTA5 11548, New York","48","24","2","22"
"8710000US3611549","ZCTA5 11549, New York","0","0","0","0"
"8710000US3611550","ZCTA5 11550, New York","2895","1151","57","1687"
"8710000US3611552","ZCTA5 11552, New York","537","370","42","125"
"8710000US3611553","ZCTA5 11553, New York","1068","813","30","225"
"8710000US3611554","ZCTA5 11554, New York","622","455","23","144"
"8710000US3611556","ZCTA5 11556, New York","0","0","0","0"
"8710000US3611557","ZCTA5 11557, New York","73","45","20","8"
"8710000US3611558","ZCTA5 11558, New York","204","129","5","70"
"8710000US3611559","ZCTA5 11559, New York","100","36","20","44"
"8710000US3611560","ZCTA5 11560, New York","65","43","4","18"
"8710000US3611561","ZCTA5 11561, New York","629","262","46","321"
"8710000US3611563","ZCTA5 11563, New York","305","175","26","104"
"8710000US3611565","ZCTA5 11565, New York","77","53","14","10"
"8710000US3611566","ZCTA5 11566, New York","279","227","31","21"
"8710000US3611568","ZCTA5 11568, New York","75","44","24","7"
"8710000US3611569","ZCTA5 11569, New York","7","5","0","2"
"8710000US3611570","ZCTA5 11570, New York","333","141","31","161"
"8710000US3611572","ZCTA5 11572, New York","283","143","27","113"
"8710000US3611575","ZCTA5 11575, New York","842","553","56","233"
"8710000US3611576","ZCTA5 11576, New York","179","128","33","18"
"8710000US3611577","ZCTA5 11577, New York","311","217","30","64"
"8710000US3611579","ZCTA5 11579, New York","42","11","10","21"
"8710000US3611580","ZCTA5 11580, New York","1268","966","127","175"
"8710000US3611581","ZCTA5 11581, New York","510","391","35","84"
"8710000US3611590","ZCTA5 11590, New York","1709","934","140","635"
"8710000US3611596","ZCTA5 11596, New York","113","74","18","21"
"8710000US3611598","ZCTA5 11598, New York","87","48","3","36"
"8710000US3611691","ZCTA5 11691, New York","2362","533","43","1786"
"8710000US3611692","ZCTA5 11692, New York","647","149","34","464"
"8710000US3611693","ZCTA5 11693, New York","349","78","49","222"
"8710000US3611694","ZCTA5 11694, New York","260","79","6","175"
"8710000US3611697","ZCTA5 11697, New York","30","19","11","0"
"8710000US3611701","ZCTA5 11701, New York","882","583","65","234"
"8710000US3611702","ZCTA5 11702, New York","172","91","18","63"
"8710000US3611703","ZCTA5 11703, New York","195","156","15","24"
"8710000US3611704","ZCTA5 11704, New York","805","540","84","181"
"8710000US3611705","ZCTA5 11705, New York","63","36","5","22"
"8710000US3611706","ZCTA5 11706, New York","2598","1717","133","748"
"8710000US3611709","ZCTA5 11709, New York","71","44","3","24"
"8710000US3611710","ZCTA5 11710, New York","359","260","23","76"
"8710000US3611713","ZCTA5 11713, New York","383","191","15","177"
"8710000US3611714","ZCTA5 11714, New York","261","176","53","32"
"8710000US3611715","ZCTA5 11715, New York","28","23","3","2"
"8710000US3611716","ZCTA5 11716, New York","74","36","11","27"
"8710000US3611717","ZCTA5 11717, New York","3771","2734","160","877"
"8710000US3611718","ZCTA5 11718, New York","17","10","0","7"
"8710000US3611719","ZCTA5 11719, New York","31","17","1","13"
"8710000US3611720","ZCTA5 11720, New York","413","312","34","67"
"8710000US3611721","ZCTA5 11721, New York","25","15","4","6"
"8710000US3611722","ZCTA5 11722, New York","2136","1423","128","585"
"8710000US3611724","ZCTA5 11724, New York","13","4","6","3"
"8710000US3611725","ZCTA5 11725, New York","229","163","15","51"
"8710000US3611726","ZCTA5 11726, New York","728","435","44","249"
"8710000US3611727","ZCTA5 11727, New York","748","450","27","271"
"8710000US3611729","ZCTA5 11729, New York","592","411","48","133"
"8710000US3611730","ZCTA5 11730, New York","135","86","15","34"
"8710000US3611731","ZCTA5 11731, New York","203","134","34","35"
