"GEO_ID","NAME","H013001","H013002","H013003","H013004","H013005","H013006","H013007","H013008"
"id","Geographic Area Name","Total","Total!!1-person household","Total!!2-person household","Total!!3-person household","Total!!4-person household","Total!!5-person household","Total!!6-person household","Total!!7-or-more-person household"
"8710000US3610032","ZCTA5 10032, New York","20228","5800","5148","3505","2558","1514","818","885"
"8710000US3614774","ZCTA5 14774, New York","46","8","11","7","7","7","5","1"
"8710000US3612740","ZCTA5 12740, New York","800","218","311","121","91","43","14","2"
"8710000US3612832","ZCTA5 12832, New York","2750","712","983","429","370","154","63","39"
"8710000US3613602","ZCTA5 13602, New York","117","3","2","23","51","22","13","3"
"8710000US3614853","ZCTA5 14853, New York","0","0","0","0","0","0","0","0"
"8710000US3611106","ZCTA5 11106, New York","17101","6254","5597","2405","1514","725","310","296"
"8710000US3612924","ZCTA5 12924, New York","65","14","30","9","5","5","2","0"
"8710000US3611213","ZCTA5 11213, New York","23142","7018","5906","4082","2721","1676","776","963"
"8710000US3613634","ZCTA5 13634, New York","1546","357","535","309","197","95","35","18"
"8710000US3613656","ZCTA5 13656, New York","991","172","338","178","169","75","38","21"
"8710000US3613490","ZCTA5 13490, New York","519","112","192","86","78","34","8","9"
"8710000US3612472","ZCTA5 12472, New York","716","278","225","98","71","23","14","7"
"8710000US3612777","ZCTA5 12777, New York","336","98","142","45","28","17","5","1"
"8710000US3613460","ZCTA5 13460, New York","1784","490","634","283","201","107","44","25"
"8710000US3613337","ZCTA5 13337, New York","335","90","127","55","41","15","7","0"
"8710000US3614860","ZCTA5 14860, New York","437","125","167","62","47","23","7","6"
"8710000US3613696","ZCTA5 13696, New York","43","13","22","4","2","2","0","0"
"8710000US3611765","ZCTA5 11765, New York","273","55","104","37","39","29","6","3"
"8710000US3612594","ZCTA5 12594, New York","1506","296","446","298","270","135","39","22"
"8710000US3613211","ZCTA5 13211, New York","2677","815","852","439","329","160","52","30"
"8710000US3614467","ZCTA5 14467, New York","3663","935","1292","625","494","227","68","22"
"8710000US3613206","ZCTA5 13206, New York","7835","3175","2491","1100","627","300","97","45"
"8710000US3614611","ZCTA5 14611, New York","6711","2301","1602","1146","821","448","202","191"
"8710000US3613301","ZCTA5 13301, New York","54","24","22","3","4","1","0","0"
"8710000US3611365","ZCTA5 11365, New York","15463","3864","4289","2918","2466","1136","488","302"
"8710000US3611724","ZCTA5 11724, New York","1013","109","296","198","234","126","41","9"
"8710000US3611937","ZCTA5 11937, New York","5805","1627","1893","827","709","387","142","220"
"8710000US3611375","ZCTA5 11375, New York","32547","12981","10437","4518","3017","1044","377","173"
"8710000US3613756","ZCTA5 13756, New York","249","66","103","29","22","19","4","6"
"8710000US3614810","ZCTA5 14810, New York","5153","1777","1793","731","499","222","80","51"
"8710000US3611763","ZCTA5 11763, New York","9185","1761","2449","1666","1636","922","419","332"
"8710000US3612210","ZCTA5 12210, New York","5180","2554","1502","570","315","120","63","56"
"8710000US3614885","ZCTA5 14885, New York","303","64","103","45","45","22","11","13"
"8710000US3612816","ZCTA5 12816, New York","1902","548","710","280","208","105","27","24"
"8710000US3612917","ZCTA5 12917, New York","536","129","186","88","73","41","10","9"
"8710000US3614420","ZCTA5 14420, New York","7215","2028","2423","1152","1000","406","139","67"
"8710000US3612760","ZCTA5 12760, New York","224","76","82","33","25","6","1","1"
"8710000US3611005","ZCTA5 11005, New York","1362","948","391","17","5","1","0","0"
"8710000US3611217","ZCTA5 11217, New York","16269","6033","5646","2412","1370","476","191","141"
"8710000US3614432","ZCTA5 14432, New York","2233","584","763","415","293","109","45","24"
"8710000US3612477","ZCTA5 12477, New York","7905","2348","2738","1276","965","401","124","53"
"8710000US3612792","ZCTA5 12792, New York","139","37","52","22","17","9","1","1"
"8710000US3613621","ZCTA5 13621, New York","258","70","78","56","33","9","6","6"
"8710000US3612515","ZCTA5 12515, New York","571","141","165","113","85","42","12","13"
"8710000US3614507","ZCTA5 14507, New York","536","103","252","73","66","28","9","5"
"8710000US3610516","ZCTA5 10516, New York","2165","607","729","350","311","121","34","13"
"8710000US3613812","ZCTA5 13812, New York","918","210","350","139","133","52","21","13"
"8710000US3611715","ZCTA5 11715, New York","1687","327","527","299","335","140","47","12"
"8710000US3612015","ZCTA5 12015, New York","1291","385","485","188","142","59","17","15"
"8710000US3612306","ZCTA5 12306, New York","10744","3024","3851","1738","1362","526","160","83"
"8710000US3612409","ZCTA5 12409, New York","406","156","160","46","34","9","1","0"
"8710000US3614456","ZCTA5 14456, New York","7816","2486","2730","1176","852","365","139","68"
"8710000US3614817","ZCTA5 14817, New York","1005","260","395","177","120","35","15","3"
"8710000US3610006","ZCTA5 10006, New York","1791","888","672","165","51","10","5","0"
