"GEO_ID","NAME","H011C001","H011C002","H011C003","H011C004"
"id","Geographic Area Name","Population in occupied housing units","Population in occupied housing units!!Owned with a mortgage or a loan","Population in occupied housing units!!Owned free and clear","Population in occupied housing units!!Renter occupied"
"8710000US3610974","ZCTA5 10974, New York","13","3","0","10"
"8710000US3610975","ZCTA5 10975, New York","0","0","0","0"
"8710000US3610976","ZCTA5 10976, New York","0","0","0","0"
"8710000US3610977","ZCTA5 10977, New York","182","18","0","164"
"8710000US3610979","ZCTA5 10979, New York","2","2","0","0"
"8710000US3610980","ZCTA5 10980, New York","13","5","4","4"
"8710000US3610983","ZCTA5 10983, New York","4","3","1","0"
"8710000US3610984","ZCTA5 10984, New York","5","4","1","0"
"8710000US3610985","ZCTA5 10985, New York","0","0","0","0"
"8710000US3610986","ZCTA5 10986, New York","3","0","0","3"
"8710000US3610987","ZCTA5 10987, New York","4","4","0","0"
"8710000US3610988","ZCTA5 10988, New York","0","0","0","0"
"8710000US3610989","ZCTA5 10989, New York","27","11","0","16"
"8710000US3610990","ZCTA5 10990, New York","55","23","3","29"
"8710000US3610992","ZCTA5 10992, New York","36","25","2","9"
"8710000US3610993","ZCTA5 10993, New York","10","8","0","2"
"8710000US3610994","ZCTA5 10994, New York","4","2","2","0"
"8710000US3610996","ZCTA5 10996, New York","14","0","0","14"
"8710000US3610998","ZCTA5 10998, New York","10","10","0","0"
"8710000US3611001","ZCTA5 11001, New York","57","41","9","7"
"8710000US3611003","ZCTA5 11003, New York","167","100","6","61"
"8710000US3611004","ZCTA5 11004, New York","41","28","7","6"
"8710000US3611005","ZCTA5 11005, New York","0","0","0","0"
"8710000US3611010","ZCTA5 11010, New York","49","27","5","17"
"8710000US3611020","ZCTA5 11020, New York","12","6","3","3"
"8710000US3611021","ZCTA5 11021, New York","19","10","6","3"
"8710000US3611023","ZCTA5 11023, New York","5","0","0","5"
"8710000US3611024","ZCTA5 11024, New York","22","0","0","22"
"8710000US3611030","ZCTA5 11030, New York","9","4","0","5"
"8710000US3611040","ZCTA5 11040, New York","76","56","5","15"
"8710000US3611042","ZCTA5 11042, New York","0","0","0","0"
"8710000US3611050","ZCTA5 11050, New York","63","14","1","48"
"8710000US3611096","ZCTA5 11096, New York","63","27","4","32"
"8710000US3611101","ZCTA5 11101, New York","157","7","9","141"
"8710000US3611102","ZCTA5 11102, New York","262","19","0","243"
"8710000US3611103","ZCTA5 11103, New York","208","19","1","188"
"8710000US3611104","ZCTA5 11104, New York","141","19","3","119"
"8710000US3611105","ZCTA5 11105, New York","80","9","6","65"
"8710000US3611106","ZCTA5 11106, New York","206","2","4","200"
"8710000US3611109","ZCTA5 11109, New York","4","0","1","3"
"8710000US3611201","ZCTA5 11201, New York","124","20","10","94"
"8710000US3611203","ZCTA5 11203, New York","204","75","5","124"
"8710000US3611204","ZCTA5 11204, New York","126","16","0","110"
"8710000US3611205","ZCTA5 11205, New York","237","7","0","230"
"8710000US3611206","ZCTA5 11206, New York","714","37","3","674"
"8710000US3611207","ZCTA5 11207, New York","861","171","7","683"
"8710000US3611208","ZCTA5 11208, New York","1085","269","26","790"
"8710000US3611209","ZCTA5 11209, New York","207","8","5","194"
"8710000US3611210","ZCTA5 11210, New York","177","32","6","139"
"8710000US3611211","ZCTA5 11211, New York","463","19","12","432"
"8710000US3611212","ZCTA5 11212, New York","432","31","7","394"
"8710000US3611213","ZCTA5 11213, New York","244","16","6","222"
"8710000US3611214","ZCTA5 11214, New York","263","11","7","245"
"8710000US3611215","ZCTA5 11215, New York","209","33","14","162"
"8710000US3611216","ZCTA5 11216, New York","219","27","5","187"
"8710000US3611217","ZCTA5 11217, New York","149","22","5","122"
"8710000US3611218","ZCTA5 11218, New York","425","59","10","356"
"8710000US3611219","ZCTA5 11219, New York","220","4","0","216"
"8710000US3611220","ZCTA5 11220, New York","1016","70","31","915"
"8710000US3611221","ZCTA5 11221, New York","789","141","15","633"
"8710000US3611222","ZCTA5 11222, New York","87","2","7","78"
"8710000US3611223","ZCTA5 11223, New York","266","10","0","256"
"8710000US3611224","ZCTA5 11224, New York","254","24","11","219"
"8710000US3611225","ZCTA5 11225, New York","218","13","1","204"
"8710000US3611226","ZCTA5 11226, New York","461","30","6","425"
"8710000US3611228","ZCTA5 11228, New York","74","7","2","65"
"8710000US3611229","ZCTA5 11229, New York","144","23","9","112"
"8710000US3611230","ZCTA5 11230, New York","257","18","6","233"
"8710000US3611231","ZCTA5 11231, New York","184","10","2","172"
"8710000US3611232","ZCTA5 11232, New York","586","34","11","541"
"8710000US3611233","ZCTA5 11233, New York","438","60","13","365"
"8710000US3611234","ZCTA5 11234, New York","224","112","18","94"
"8710000US3611235","ZCTA5 11235, New York","200","30","9","161"
"8710000US3611236","ZCTA5 11236, New York","290","86","11","193"
"8710000US3611237","ZCTA5 11237, New York","666","23","1","642"
"8710000US3611238","ZCTA5 11238, New York","167","24","9","134"
"8710000US3611239","ZCTA5 11239, New York","51","0","0","51"
"8710000US3611351","ZCTA5 11351, New York","0","0","0","0"
"8710000US3611354","ZCTA5 11354, New York","131","25","12","94"
"8710000US3611355","ZCTA5 11355, New York","193","36","3","154"
"8710000US3611356","ZCTA5 11356, New York","89","45","6","38"
"8710000US3611357","ZCTA5 11357, New York","26","10","2","14"
"8710000US3611358","ZCTA5 11358, New York","46","12","2","32"
"8710000US3611359","ZCTA5 11359, New York","0","0","0","0"
"8710000US3611360","ZCTA5 11360, New York","11","5","0","6"
"8710000US3611361","ZCTA5 11361, New York","16","15","0","1"
"8710000US3611362","ZCTA5 11362, New York","11","5","2","4"
"8710000US3611363","ZCTA5 11363, New York","8","6","2","0"
"8710000US3611364","ZCTA5 11364, New York","35","20","4","11"
"8710000US3611365","ZCTA5 11365, New York","98","5","3","90"
"8710000US3611366","ZCTA5 11366, New York","24","12","5","7"
"8710000US3611367","ZCTA5 11367, New York","76","17","9","50"
"8710000US3611368","ZCTA5 11368, New York","1633","176","15","1442"
"8710000US3611369","ZCTA5 11369, New York","425","109","19","297"
"8710000US3611370","ZCTA5 11370, New York","148","54","5","89"
"8710000US3611371","ZCTA5 11371, New York","0","0","0","0"
"8710000US3611372","ZCTA5 11372, New York","490","86","17","387"
"8710000US3611373","ZCTA5 11373, New York","638","63","28","547"
"8710000US3611374","ZCTA5 11374, New York","88","20","5","63"
"8710000US3611375","ZCTA5 11375, New York","106","50","10","46"
"8710000US3611377","ZCTA5 11377, New York","729","86","24","619"
"8710000US3611378","ZCTA5 11378, New York","125","42","3","80"
"8710000US3611379","ZCTA5 11379, New York","56","12","5","39"
"8710000US3611385","ZCTA5 11385, New York","665","118","11","536"
"8710000US3611411","ZCTA5 11411, New York","59","27","13","19"
"8710000US3611412","ZCTA5 11412, New York","100","50","10","40"
"8710000US3611413","ZCTA5 11413, New York","167","102","14","51"
"8710000US3611414","ZCTA5 11414, New York","43","17","4","22"
"8710000US3611415","ZCTA5 11415, New York","59","9","0","50"
"8710000US3611416","ZCTA5 11416, New York","296","106","16","174"
"8710000US3611417","ZCTA5 11417, New York","362","176","9","177"
"8710000US3611418","ZCTA5 11418, New York","388","126","5","257"
"8710000US3611419","ZCTA5 11419, New York","737","342","39","356"
"8710000US3611420","ZCTA5 11420, New York","584","330","50","204"
"8710000US3611421","ZCTA5 11421, New York","444","245","17","182"
"8710000US3611422","ZCTA5 11422, New York","151","89","4","58"
"8710000US3611423","ZCTA5 11423, New York","286","165","13","108"
"8710000US3611424","ZCTA5 11424, New York","0","0","0","0"
"8710000US3611425","ZCTA5 11425, New York","0","0","0","0"
"8710000US3611426","ZCTA5 11426, New York","44","36","0","8"
"8710000US3611427","ZCTA5 11427, New York","107","55","7","45"
"8710000US3611428","ZCTA5 11428, New York","119","92","2","25"
"8710000US3611429","ZCTA5 11429, New York","140","81","17","42"
"8710000US3611430","ZCTA5 11430, New York","0","0","0","0"
"8710000US3611432","ZCTA5 11432, New York","469","100","9","360"
"8710000US3611433","ZCTA5 11433, New York","361","106","11","244"
"8710000US3611434","ZCTA5 11434, New York","269","135","15","119"
"8710000US3611435","ZCTA5 11435, New York","545","169","34","342"
"8710000US3611436","ZCTA5 11436, New York","165","94","23","48"
"8710000US3611451","ZCTA5 11451, New York","0","0","0","0"
"8710000US3611501","ZCTA5 11501, New York","38","7","6","25"
"8710000US3611507","ZCTA5 11507, New York","8","8","0","0"
"8710000US3611509","ZCTA5 11509, New York","0","0","0","0"
"8710000US3611510","ZCTA5 11510, New York","134","47","28","59"
"8710000US3611514","ZCTA5 11514, New York","4","0","0","4"
"8710000US3611516","ZCTA5 11516, New York","0","0","0","0"
"8710000US3611518","ZCTA5 11518, New York","3","0","0","3"
"8710000US3611520","ZCTA5 11520, New York","354","155","8","191"
"8710000US3611530","ZCTA5 11530, New York","17","8","0","9"
"8710000US3611542","ZCTA5 11542, New York","90","38","0","52"
"8710000US3611545","ZCTA5 11545, New York","9","7","2","0"
"8710000US3611547","ZCTA5 11547, New York","8","0","0","8"
"8710000US3611548","ZCTA5 11548, New York","3","0","0","3"
"8710000US3611549","ZCTA5 11549, New York","0","0","0","0"
"8710000US3611550","ZCTA5 11550, New York","362","137","3","222"
"8710000US3611552","ZCTA5 11552, New York","61","47","0","14"
"8710000US3611553","ZCTA5 11553, New York","146","132","4","10"
"8710000US3611554","ZCTA5 11554, New York","37","24","8","5"
"8710000US3611556","ZCTA5 11556, New York","0","0","0","0"
"8710000US3611557","ZCTA5 11557, New York","0","0","0","0"
"8710000US3611558","ZCTA5 11558, New York","7","7","0","0"
"8710000US3611559","ZCTA5 11559, New York","2","0","0","2"
"8710000US3611560","ZCTA5 11560, New York","0","0","0","0"
"8710000US3611561","ZCTA5 11561, New York","87","17","2","68"
"8710000US3611563","ZCTA5 11563, New York","32","4","2","26"
"8710000US3611565","ZCTA5 11565, New York","0","0","0","0"
"8710000US3611566","ZCTA5 11566, New York","41","37","0","4"
"8710000US3611568","ZCTA5 11568, New York","2","0","0","2"
"8710000US3611569","ZCTA5 11569, New York","0","0","0","0"
"8710000US3611570","ZCTA5 11570, New York","34","14","0","20"
"8710000US3611572","ZCTA5 11572, New York","21","8","12","1"
"8710000US3611575","ZCTA5 11575, New York","115","61","3","51"
"8710000US3611576","ZCTA5 11576, New York","4","0","1","3"
"8710000US3611577","ZCTA5 11577, New York","14","3","6","5"
"8710000US3611579","ZCTA5 11579, New York","6","5","0","1"
"8710000US3611580","ZCTA5 11580, New York","163","101","11","51"
"8710000US3611581","ZCTA5 11581, New York","23","21","0","2"
"8710000US3611590","ZCTA5 11590, New York","177","61","34","82"
"8710000US3611596","ZCTA5 11596, New York","4","0","0","4"
"8710000US3611598","ZCTA5 11598, New York","5","0","0","5"
"8710000US3611691","ZCTA5 11691, New York","424","72","12","340"
"8710000US3611692","ZCTA5 11692, New York","116","24","5","87"
"8710000US3611693","ZCTA5 11693, New York","50","15","9","26"
"8710000US3611694","ZCTA5 11694, New York","38","14","1","23"
"8710000US3611697","ZCTA5 11697, New York","7","7","0","0"
"8710000US3611701","ZCTA5 11701, New York","193","76","21","96"
"8710000US3611702","ZCTA5 11702, New York","11","5","2","4"
"8710000US3611703","ZCTA5 11703, New York","9","3","4","2"
"8710000US3611704","ZCTA5 11704, New York","85","38","15","32"
"8710000US3611705","ZCTA5 11705, New York","6","2","0","4"
"8710000US3611706","ZCTA5 11706, New York","349","192","10","147"
"8710000US3611709","ZCTA5 11709, New York","31","10","4","17"
"8710000US3611710","ZCTA5 11710, New York","27","14","6","7"
"8710000US3611713","ZCTA5 11713, New York","144","71","6","67"
"8710000US3611714","ZCTA5 11714, New York","14","1","0","13"
"8710000US3611715","ZCTA5 11715, New York","9","7","1","1"
"8710000US3611716","ZCTA5 11716, New York","6","4","0","2"
"8710000US3611717","ZCTA5 11717, New York","638","427","24","187"
"8710000US3611718","ZCTA5 11718, New York","1","0","0","1"
"8710000US3611719","ZCTA5 11719, New York","3","3","0","0"
"8710000US3611720","ZCTA5 11720, New York","19","10","0","9"
"8710000US3611721","ZCTA5 11721, New York","3","0","3","0"
"8710000US3611722","ZCTA5 11722, New York","314","164","23","127"
"8710000US3611724","ZCTA5 11724, New York","0","0","0","0"
"8710000US3611725","ZCTA5 11725, New York","21","9","5","7"
"8710000US3611726","ZCTA5 11726, New York","105","66","4","35"
"8710000US3611727","ZCTA5 11727, New York","82","26","4","52"
"8710000US3611729","ZCTA5 11729, New York","57","28","6","23"
"8710000US3611730","ZCTA5 11730, New York","12","8","3","1"
"8710000US3611731","ZCTA5 11731, New York","26","14","0","12"
"8710000US3611732","ZCTA5 11732, New York","0","0","0","0"
"8710000US3611733","ZCTA5 11733, New York","32","27","3","2"
"8710000US3611735","ZCTA5 11735, New York","54","25","4","25"
"8710000US3611738","ZCTA5 11738, New York","37","27","4","6"
"8710000US3611739","ZCTA5 11739, New York","0","0","0","0"
"8710000US3611740","ZCTA5 11740, New York","15","9","0","6"
"8710000US3611741","ZCTA5 11741, New York","36","14","5","17"
