"GEO_ID","NAME","H011I001","H011I002","H011I003","H011I004"
"id","Geographic Area Name","Population in occupied housing units","Population in occupied housing units!!Owned with a mortgage or a loan","Population in occupied housing units!!Owned free and clear","Population in occupied housing units!!Renter occupied"
"8710000US3610922","ZCTA5 10922, New York","1285","749","289","247"
"8710000US3610923","ZCTA5 10923, New York","4390","2760","866","764"
"8710000US3610924","ZCTA5 10924, New York","9501","6104","1560","1837"
"8710000US3610925","ZCTA5 10925, New York","3866","2462","581","823"
"8710000US3610926","ZCTA5 10926, New York","2035","1214","244","577"
"8710000US3610927","ZCTA5 10927, New York","2150","1080","411","659"
"8710000US3610928","ZCTA5 10928, New York","2780","1225","539","1016"
"8710000US3610930","ZCTA5 10930, New York","6795","5284","978","533"
"8710000US3610931","ZCTA5 10931, New York","443","186","70","187"
"8710000US3610932","ZCTA5 10932, New York","59","44","9","6"
"8710000US3610933","ZCTA5 10933, New York","423","295","82","46"
"8710000US3610940","ZCTA5 10940, New York","23736","13075","4168","6493"
"8710000US3610941","ZCTA5 10941, New York","8040","4710","1281","2049"
"8710000US3610950","ZCTA5 10950, New York","40397","20432","4131","15834"
"8710000US3610952","ZCTA5 10952, New York","34571","13513","4115","16943"
"8710000US3610953","ZCTA5 10953, New York","233","179","34","20"
"8710000US3610954","ZCTA5 10954, New York","13974","8549","2778","2647"
"8710000US3610956","ZCTA5 10956, New York","23133","16684","5144","1305"
"8710000US3610958","ZCTA5 10958, New York","2513","1770","400","343"
"8710000US3610960","ZCTA5 10960, New York","9071","4615","1303","3153"
"8710000US3610962","ZCTA5 10962, New York","3501","2330","784","387"
"8710000US3610963","ZCTA5 10963, New York","2118","1475","296","347"
"8710000US3610964","ZCTA5 10964, New York","1151","681","271","199"
"8710000US3610965","ZCTA5 10965, New York","13091","9004","2582","1505"
"8710000US3610968","ZCTA5 10968, New York","1854","893","343","618"
"8710000US3610969","ZCTA5 10969, New York","1101","650","249","202"
"8710000US3610970","ZCTA5 10970, New York","5383","3557","1059","767"
"8710000US3610973","ZCTA5 10973, New York","1820","1226","357","237"
"8710000US3610974","ZCTA5 10974, New York","2518","1737","439","342"
"8710000US3610975","ZCTA5 10975, New York","241","102","26","113"
"8710000US3610976","ZCTA5 10976, New York","1109","606","186","317"
"8710000US3610977","ZCTA5 10977, New York","25086","9874","2569","12643"
"8710000US3610979","ZCTA5 10979, New York","202","137","46","19"
"8710000US3610980","ZCTA5 10980, New York","10756","7297","2277","1182"
"8710000US3610983","ZCTA5 10983, New York","4317","3033","1010","274"
"8710000US3610984","ZCTA5 10984, New York","1957","1467","394","96"
"8710000US3610985","ZCTA5 10985, New York","51","44","4","3"
"8710000US3610986","ZCTA5 10986, New York","1772","1224","254","294"
"8710000US3610987","ZCTA5 10987, New York","2845","1826","567","452"
"8710000US3610988","ZCTA5 10988, New York","796","516","112","168"
"8710000US3610989","ZCTA5 10989, New York","6622","4513","1380","729"
"8710000US3610990","ZCTA5 10990, New York","16971","11764","2912","2295"
"8710000US3610992","ZCTA5 10992, New York","7265","5309","1160","796"
"8710000US3610993","ZCTA5 10993, New York","1688","887","304","497"
"8710000US3610994","ZCTA5 10994, New York","5590","4089","1135","366"
"8710000US3610996","ZCTA5 10996, New York","1861","0","4","1857"
"8710000US3610998","ZCTA5 10998, New York","2706","1978","383","345"
"8710000US3611001","ZCTA5 11001, New York","18035","11014","4713","2308"
"8710000US3611003","ZCTA5 11003, New York","8889","4053","2988","1848"
"8710000US3611004","ZCTA5 11004, New York","5403","2378","1696","1329"
"8710000US3611005","ZCTA5 11005, New York","1753","328","1187","238"
"8710000US3611010","ZCTA5 11010, New York","19230","11959","5131","2140"
"8710000US3611020","ZCTA5 11020, New York","3154","1985","1056","113"
"8710000US3611021","ZCTA5 11021, New York","13270","6558","3700","3012"
"8710000US3611023","ZCTA5 11023, New York","7590","4477","2134","979"
"8710000US3611024","ZCTA5 11024, New York","5850","3589","1560","701"
"8710000US3611030","ZCTA5 11030, New York","14484","9275","4261","948"
"8710000US3611040","ZCTA5 11040, New York","22995","12704","8283","2008"
"8710000US3611042","ZCTA5 11042, New York","2","0","0","2"
"8710000US3611050","ZCTA5 11050, New York","21832","12895","4926","4011"
"8710000US3611096","ZCTA5 11096, New York","2199","1008","526","665"
"8710000US3611101","ZCTA5 11101, New York","7243","1310","445","5488"
"8710000US3611102","ZCTA5 11102, New York","14659","1775","1278","11606"
"8710000US3611103","ZCTA5 11103, New York","22110","2353","2248","17509"
"8710000US3611104","ZCTA5 11104, New York","11230","1674","857","8699"
"8710000US3611105","ZCTA5 11105, New York","24308","4844","3686","15778"
"8710000US3611106","ZCTA5 11106, New York","16128","1790","2039","12299"
"8710000US3611109","ZCTA5 11109, New York","2236","264","190","1782"
"8710000US3611201","ZCTA5 11201, New York","29206","10616","3704","14886"
"8710000US3611203","ZCTA5 11203, New York","1759","533","233","993"
"8710000US3611204","ZCTA5 11204, New York","48595","11676","6607","30312"
"8710000US3611205","ZCTA5 11205, New York","15078","3030","371","11677"
"8710000US3611206","ZCTA5 11206, New York","21242","2591","337","18314"
"8710000US3611207","ZCTA5 11207, New York","1387","187","109","1091"
"8710000US3611208","ZCTA5 11208, New York","1879","357","419","1103"
"8710000US3611209","ZCTA5 11209, New York","48597","12417","6488","29692"
"8710000US3611210","ZCTA5 11210, New York","19373","10929","3266","5178"
"8710000US3611211","ZCTA5 11211, New York","58666","7462","3251","47953"
"8710000US3611212","ZCTA5 11212, New York","524","39","26","459"
"8710000US3611213","ZCTA5 11213, New York","10882","3420","881","6581"
"8710000US3611214","ZCTA5 11214, New York","45739","7859","6193","31687"
"8710000US3611215","ZCTA5 11215, New York","43933","15410","4112","24411"
"8710000US3611216","ZCTA5 11216, New York","5693","750","52","4891"
"8710000US3611217","ZCTA5 11217, New York","18155","5971","1261","10923"
"8710000US3611218","ZCTA5 11218, New York","37491","10949","3542","23000"
"8710000US3611219","ZCTA5 11219, New York","58221","9475","5567","43179"
"8710000US3611220","ZCTA5 11220, New York","14828","2627","2442","9759"
"8710000US3611221","ZCTA5 11221, New York","3608","422","84","3102"
"8710000US3611222","ZCTA5 11222, New York","28174","3660","2116","22398"
"8710000US3611223","ZCTA5 11223, New York","48138","12545","8157","27436"
"8710000US3611224","ZCTA5 11224, New York","24058","3457","5667","14934"
"8710000US3611225","ZCTA5 11225, New York","8206","2257","547","5402"
"8710000US3611226","ZCTA5 11226, New York","5958","1662","474","3822"
"8710000US3611228","ZCTA5 11228, New York","26663","9818","6076","10769"
"8710000US3611229","ZCTA5 11229, New York","54121","19251","9050","25820"
"8710000US3611230","ZCTA5 11230, New York","58340","16183","8066","34091"
"8710000US3611231","ZCTA5 11231, New York","20200","5789","1676","12735"
"8710000US3611232","ZCTA5 11232, New York","5356","1001","804","3551"
"8710000US3611233","ZCTA5 11233, New York","1307","274","41","992"
"8710000US3611234","ZCTA5 11234, New York","39254","21592","8262","9400"
"8710000US3611235","ZCTA5 11235, New York","57761","15165","9136","33460"
"8710000US3611236","ZCTA5 11236, New York","4898","1393","1504","2001"
"8710000US3611237","ZCTA5 11237, New York","5712","271","171","5270"
"8710000US3611238","ZCTA5 11238, New York","17144","4985","812","11347"
"8710000US3611239","ZCTA5 11239, New York","3312","5","0","3307"
"8710000US3611351","ZCTA5 11351, New York","0","0","0","0"
"8710000US3611354","ZCTA5 11354, New York","10365","2988","3547","3830"
"8710000US3611355","ZCTA5 11355, New York","7827","1369","2125","4333"
"8710000US3611356","ZCTA5 11356, New York","8048","2997","1781","3270"
"8710000US3611357","ZCTA5 11357, New York","27128","14006","8267","4855"
"8710000US3611358","ZCTA5 11358, New York","15910","6993","4586","4331"
"8710000US3611359","ZCTA5 11359, New York","0","0","0","0"
"8710000US3611360","ZCTA5 11360, New York","12640","5209","4353","3078"
"8710000US3611361","ZCTA5 11361, New York","13380","5651","3038","4691"
"8710000US3611362","ZCTA5 11362, New York","9369","4733","3540","1096"
"8710000US3611363","ZCTA5 11363, New York","4124","2075","1310","739"
"8710000US3611364","ZCTA5 11364, New York","14496","6653","4751","3092"
"8710000US3611365","ZCTA5 11365, New York","14317","4309","3454","6554"
"8710000US3611366","ZCTA5 11366, New York","5350","2770","1599","981"
"8710000US3611367","ZCTA5 11367, New York","20485","8080","3677","8728"
"8710000US3611368","ZCTA5 11368, New York","4869","525","779","3565"
"8710000US3611369","ZCTA5 11369, New York","2242","697","723","822"
"8710000US3611370","ZCTA5 11370, New York","8396","2676","1969","3751"
"8710000US3611371","ZCTA5 11371, New York","0","0","0","0"
"8710000US3611372","ZCTA5 11372, New York","12437","3633","2530","6274"
"8710000US3611373","ZCTA5 11373, New York","7172","1235","1654","4283"
"8710000US3611374","ZCTA5 11374, New York","22942","6261","3068","13613"
"8710000US3611375","ZCTA5 11375, New York","40161","13188","7525","19448"
"8710000US3611377","ZCTA5 11377, New York","18867","4259","3912","10696"
"8710000US3611378","ZCTA5 11378, New York","21214","8148","4439","8627"
"8710000US3611379","ZCTA5 11379, New York","25831","10754","5972","9105"
"8710000US3611385","ZCTA5 11385, New York","46961","12063","6237","28661"
"8710000US3611411","ZCTA5 11411, New York","230","70","122","38"
"8710000US3611412","ZCTA5 11412, New York","190","59","38","93"
"8710000US3611413","ZCTA5 11413, New York","444","142","212","90"
"8710000US3611414","ZCTA5 11414, New York","20579","10220","5894","4465"
"8710000US3611415","ZCTA5 11415, New York","9816","2811","1135","5870"
"8710000US3611416","ZCTA5 11416, New York","3514","838","846","1830"
"8710000US3611417","ZCTA5 11417, New York","7655","3287","1802","2566"
"8710000US3611418","ZCTA5 11418, New York","6784","2535","1335","2914"
"8710000US3611419","ZCTA5 11419, New York","2256","690","726","840"
"8710000US3611420","ZCTA5 11420, New York","3242","1282","1040","920"
"8710000US3611421","ZCTA5 11421, New York","7386","2577","2164","2645"
"8710000US3611422","ZCTA5 11422, New York","1509","565","652","292"
"8710000US3611423","ZCTA5 11423, New York","2715","1359","919","437"
"8710000US3611424","ZCTA5 11424, New York","0","0","0","0"
"8710000US3611425","ZCTA5 11425, New York","0","0","0","0"
"8710000US3611426","ZCTA5 11426, New York","6728","3306","2151","1271"
"8710000US3611427","ZCTA5 11427, New York","4401","2070","1653","678"
"8710000US3611428","ZCTA5 11428, New York","2151","826","776","549"
"8710000US3611429","ZCTA5 11429, New York","549","202","158","189"
"8710000US3611430","ZCTA5 11430, New York","0","0","0","0"
"8710000US3611432","ZCTA5 11432, New York","7322","3322","1847","2153"
"8710000US3611433","ZCTA5 11433, New York","291","82","27","182"
"8710000US3611434","ZCTA5 11434, New York","453","140","64","249"
"8710000US3611435","ZCTA5 11435, New York","7544","2052","1134","4358"
"8710000US3611436","ZCTA5 11436, New York","126","56","15","55"
"8710000US3611451","ZCTA5 11451, New York","0","0","0","0"
"8710000US3611501","ZCTA5 11501, New York","13888","7288","3445","3155"
"8710000US3611507","ZCTA5 11507, New York","4524","2660","1621","243"
"8710000US3611509","ZCTA5 11509, New York","2511","1545","611","355"
"8710000US3611510","ZCTA5 11510, New York","15517","10118","4045","1354"
"8710000US3611514","ZCTA5 11514, New York","3654","2167","898","589"
"8710000US3611516","ZCTA5 11516, New York","6331","3831","1351","1149"
"8710000US3611518","ZCTA5 11518, New York","9451","5768","1952","1731"
"8710000US3611520","ZCTA5 11520, New York","9947","6182","2460","1305"
"8710000US3611530","ZCTA5 11530, New York","23782","16311","6311","1160"
"8710000US3611542","ZCTA5 11542, New York","16384","8153","3989","4242"
"8710000US3611545","ZCTA5 11545, New York","10412","7033","2696","683"
"8710000US3611547","ZCTA5 11547, New York","683","448","135","100"
"8710000US3611548","ZCTA5 11548, New York","853","555","177","121"
"8710000US3611549","ZCTA5 11549, New York","0","0","0","0"
"8710000US3611550","ZCTA5 11550, New York","4482","2228","961","1293"
"8710000US3611552","ZCTA5 11552, New York","13473","9094","3403","976"
"8710000US3611553","ZCTA5 11553, New York","2200","825","828","547"
"8710000US3611554","ZCTA5 11554, New York","26323","16820","7348","2155"
"8710000US3611556","ZCTA5 11556, New York","0","0","0","0"
"8710000US3611557","ZCTA5 11557, New York","6549","4213","1836","500"
"8710000US3611558","ZCTA5 11558, New York","6158","3697","1329","1132"
"8710000US3611559","ZCTA5 11559, New York","6964","4222","1951","791"
"8710000US3611560","ZCTA5 11560, New York","5410","3377","1380","653"
"8710000US3611561","ZCTA5 11561, New York","28455","14528","4800","9127"
"8710000US3611563","ZCTA5 11563, New York","17971","10449","4217","3305"
"8710000US3611565","ZCTA5 11565, New York","7324","4938","2070","316"
"8710000US3611566","ZCTA5 11566, New York","31585","22924","7210","1451"
"8710000US3611568","ZCTA5 11568, New York","2358","1393","831","134"
"8710000US3611569","ZCTA5 11569, New York","1337","664","374","299"
"8710000US3611570","ZCTA5 11570, New York","21017","14021","4520","2476"
"8710000US3611572","ZCTA5 11572, New York","26560","18136","6426","1998"
"8710000US3611575","ZCTA5 11575, New York","272","99","88","85"
"8710000US3611576","ZCTA5 11576, New York","9648","6374","2781","493"
"8710000US3611577","ZCTA5 11577, New York","8722","5894","2159","669"
"8710000US3611579","ZCTA5 11579, New York","4479","2718","979","782"
"8710000US3611580","ZCTA5 11580, New York","14692","7785","5052","1855"
"8710000US3611581","ZCTA5 11581, New York","12783","7859","3490","1434"
"8710000US3611590","ZCTA5 11590, New York","18387","10634","4968","2785"
