,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip,City,State,Latitude,Longitude,geopoint,0,id,Geographic Area Name,Total_HOUSEHOLD SIZE,1-person household,2-person household,3-person household,4-person household,5-person household,6-person household,7-or-more-person household
154,11418.0,565,897,62.99,11418,Richmond Hill,NY,40.698485,-73.83365,"40.698485,-73.83365",921,8710000US3611418,"ZCTA5 11418, New York",11031,19.74,22.99,17.97,16.71,10.56,5.41,6.62
155,11419.0,600,953,62.96,11419,South Richmond Hill,NY,40.688688,-73.82216,"40.688688,-73.82216",851,8710000US3611419,"ZCTA5 11419, New York",12688,11.27,18.46,19.48,21.27,14.33,7.39,7.79
156,11420.0,745,1168,63.78,11420,South Ozone Park,NY,40.673138,-73.81443,"40.673138,-73.81443",1654,8710000US3611420,"ZCTA5 11420, New York",12918,13.97,20.95,20.2,20.55,12.97,6.01,5.36
157,11421.0,655,980,66.84,11421,Woodhaven,NY,40.690870000000004,-73.85828000000001,"40.69087,-73.85828",759,8710000US3611421,"ZCTA5 11421, New York",11845,18.31,22.27,18.99,17.28,11.08,5.73,6.34
158,11422.0,583,965,60.41,11422,Rosedale,NY,40.662538,-73.73514,"40.662538,-73.73514",1020,8710000US3611422,"ZCTA5 11422, New York",9408,17.02,23.12,20.48,18.34,10.86,5.39,4.79
159,11423.0,536,836,64.11,11423,Hollis,NY,40.714261,-73.76824,"40.714261,-73.76824",1494,8710000US3611423,"ZCTA5 11423, New York",9559,20.91,24.54,18.22,16.5,10.05,4.89,4.89
160,11426.0,316,558,56.63,11426,Bellerose,NY,40.732239,-73.72108,"40.732239,-73.72108",1269,8710000US3611426,"ZCTA5 11426, New York",6056,23.61,25.59,17.65,17.02,9.64,4.11,2.36
161,11427.0,475,787,60.36,11427,Queens Village,NY,40.728235,-73.74781999999999,"40.728235,-73.74782",1308,8710000US3611427,"ZCTA5 11427, New York",7683,22.69,25.45,18.22,16.93,8.84,4.28,3.59
162,11428.0,382,597,63.99,11428,Queens Village,NY,40.719981,-73.74127,"40.719981,-73.74127",798,8710000US3611428,"ZCTA5 11428, New York",5540,14.12,20.52,20.11,20.45,12.35,6.55,5.9
163,11429.0,575,830,69.28,11429,Queens Village,NY,40.708833,-73.73903,"40.708833,-73.73903",1513,8710000US3611429,"ZCTA5 11429, New York",7290,15.29,22.37,19.57,17.9,11.98,6.02,6.86
164,11432.0,909,1395,65.16,11432,Jamaica,NY,40.714144,-73.79324,"40.714144,-73.79324",255,8710000US3611432,"ZCTA5 11432, New York",18448,24.44,22.22,16.98,16.65,9.82,4.86,5.02
165,11433.0,515,776,66.37,11433,Jamaica,NY,40.696538000000004,-73.78734,"40.696538,-73.78734",854,8710000US3611433,"ZCTA5 11433, New York",10230,24.44,21.2,18.37,14.47,9.9,5.55,6.07
166,11434.0,1154,1798,64.18,11434,Jamaica,NY,40.674888,-73.7727,"40.674888,-73.7727",1281,8710000US3611434,"ZCTA5 11434, New York",20244,27.1,24.69,17.92,13.7,8.49,4.19,3.91
167,11435.0,861,1412,60.98,11435,Jamaica,NY,40.700068,-73.80986,"40.700068,-73.80986",640,8710000US3611435,"ZCTA5 11435, New York",17724,24.64,24.54,17.33,15.24,9.23,4.54,4.46
168,11436.0,292,450,64.89,11436,Jamaica,NY,40.674146,-73.79687,"40.674146,-73.79687",1724,8710000US3611436,"ZCTA5 11436, New York",5353,16.25,22.12,20.55,18.2,11.83,5.44,5.62
169,11691.0,1215,1792,67.8,11691,Far Rockaway,NY,40.60002,-73.75962,"40.60002,-73.75962",1164,8710000US3611691,"ZCTA5 11691, New York",19518,28.91,22.59,15.97,13.24,9.09,4.68,5.51
170,11692.0,332,521,63.72,11692,Arverne,NY,40.592939,-73.79568,"40.592939,-73.79568",389,8710000US3611692,"ZCTA5 11692, New York",6195,25.84,24.92,19.6,13.33,8.86,3.87,3.57
171,11693.0,220,369,59.62,11693,Far Rockaway,NY,40.596959000000005,-73.81978000000001,"40.596959,-73.81978",983,8710000US3611693,"ZCTA5 11693, New York",4703,31.02,29.58,16.9,12.93,5.25,2.53,1.79
172,11694.0,384,662,58.01,11694,Rockaway Park,NY,40.57649,-73.84721,"40.57649,-73.84721",542,8710000US3611694,"ZCTA5 11694, New York",8276,36.58,28.87,14.55,10.89,6.33,1.95,0.85
173,11697.0,65,135,48.15,11697,Breezy Point,NY,40.560167,-73.90890999999999,"40.560167,-73.90891",1496,8710000US3611697,"ZCTA5 11697, New York",1736,32.66,32.26,14.4,12.44,5.65,1.79,0.81
