,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip,City,State,Latitude,Longitude,geopoint,0,id,Geographic Area Name,Total_HOUSEHOLD SIZE,1-person household,2-person household,3-person household,4-person household,5-person household,6-person household,7-or-more-person household
67,10465.0,927,1906,48.64,10465,Bronx,NY,40.825727,-73.81752,"40.825727,-73.81752",1589,8710000US3610465,"ZCTA5 10465, New York",15770,28.0,29.56,17.71,13.82,7.02,2.47,1.42
68,10466.0,1361,2284,59.59,10466,Bronx,NY,40.89095,-73.84702,"40.89095,-73.84702",117,8710000US3610466,"ZCTA5 10466, New York",23318,24.27,24.78,19.95,14.97,8.79,3.87,3.37
69,10467.0,1918,3135,61.18,10467,Bronx,NY,40.872265000000006,-73.86936999999999,"40.872265,-73.86937",709,8710000US3610467,"ZCTA5 10467, New York",35524,30.39,24.97,17.64,13.08,7.48,3.51,2.95
70,10468.0,1343,2033,66.06,10468,Bronx,NY,40.867107,-73.89916,"40.867107,-73.89916",1036,8710000US3610468,"ZCTA5 10468, New York",24909,24.89,22.42,18.82,15.78,9.19,4.46,4.45
71,10469.0,1670,2688,62.13,10469,Bronx,NY,40.868643,-73.84735,"40.868643,-73.84735",341,8710000US3610469,"ZCTA5 10469, New York",22554,24.77,25.67,18.9,15.0,8.72,3.74,3.21
72,10470.0,279,510,54.71,10470,Bronx,NY,40.900628999999995,-73.86072,"40.900629,-73.86072",201,8710000US3610470,"ZCTA5 10470, New York",6390,35.27,28.15,16.49,10.63,5.7,2.07,1.69
73,10471.0,319,716,44.55,10471,Bronx,NY,40.900819,-73.90347,"40.900819,-73.90347",1636,8710000US3610471,"ZCTA5 10471, New York",9305,41.36,30.25,13.37,9.43,3.59,1.32,0.68
74,10472.0,1014,1568,64.67,10472,Bronx,NY,40.830409,-73.86845,"40.830409,-73.86845",903,8710000US3610472,"ZCTA5 10472, New York",22002,24.89,22.43,18.7,15.34,9.75,4.4,4.49
75,10473.0,1143,1940,58.92,10473,Bronx,NY,40.818514,-73.85893,"40.818514,-73.85893",1628,8710000US3610473,"ZCTA5 10473, New York",20571,25.46,25.22,19.13,14.57,8.62,3.74,3.24
76,10474.0,182,283,64.31,10474,Bronx,NY,40.81321,-73.88755,"40.81321,-73.88755",285,8710000US3610474,"ZCTA5 10474, New York",3633,21.52,22.32,19.19,17.2,9.66,4.84,5.26
77,10475.0,1021,1825,55.95,10475,Bronx,NY,40.878522,-73.82540999999999,"40.878522,-73.82541",1208,8710000US3610475,"ZCTA5 10475, New York",18534,40.56,29.16,14.95,9.22,3.81,1.52,0.78
78,11004.0,348,547,63.62,11004,Glen Oaks,NY,40.742944,-73.70956,"40.742944,-73.70956",1783,8710000US3611004,"ZCTA5 11004, New York",4975,31.24,27.44,15.24,14.79,6.27,2.49,2.53
79,11101.0,364,707,51.49,11101,Long Island City,NY,40.745340999999996,-73.93907,"40.745341,-73.93907",1394,8710000US3611101,"ZCTA5 11101, New York",10429,32.56,33.45,15.23,9.73,4.84,2.23,1.96
80,11102.0,326,579,56.3,11102,Astoria,NY,40.771285999999996,-73.92461999999999,"40.771286,-73.92462",1215,8710000US3611102,"ZCTA5 11102, New York",14083,33.3,32.13,14.96,9.71,5.08,2.49,2.33
81,11103.0,313,563,55.6,11103,Astoria,NY,40.762968,-73.91091,"40.762968,-73.91091",101,8710000US3611103,"ZCTA5 11103, New York",16890,33.55,34.31,15.07,9.7,4.09,1.8,1.49
82,11104.0,279,465,60.0,11104,Sunnyside,NY,40.743796,-73.91949,"40.743796,-73.91949",161,8710000US3611104,"ZCTA5 11104, New York",11831,34.85,31.87,15.01,10.48,4.68,1.82,1.29
83,11105.0,300,596,50.34,11105,Astoria,NY,40.774685999999996,-73.90816,"40.774686,-73.90816",1410,8710000US3611105,"ZCTA5 11105, New York",16120,32.49,34.84,16.12,9.92,4.3,1.35,0.97
84,11106.0,360,674,53.41,11106,Astoria,NY,40.762012,-73.93146999999999,"40.762012,-73.93147",7,8710000US3611106,"ZCTA5 11106, New York",17101,36.57,32.73,14.06,8.85,4.24,1.81,1.73
85,11109.0,38,106,35.85,11109,Long Island City,NY,40.651378,-73.870779,"40.651378,-73.870779",380,8710000US3611109,"ZCTA5 11109, New York",1975,40.96,44.0,11.54,2.84,0.51,0.15,0.0
86,11201.0,387,932,41.52,11201,Brooklyn,NY,40.695285999999996,-73.98907,"40.695286,-73.98907",1495,8710000US3611201,"ZCTA5 11201, New York",23325,43.76,33.34,12.03,7.52,2.14,0.68,0.53
87,11203.0,1085,1657,65.48,11203,Brooklyn,NY,40.649059,-73.93304,"40.649059,-73.93304",1260,8710000US3611203,"ZCTA5 11203, New York",26420,24.92,26.93,19.23,13.75,7.99,3.76,3.41
88,11204.0,1163,1880,61.86,11204,Brooklyn,NY,40.618944,-73.98473,"40.618944,-73.98473",1274,8710000US3611204,"ZCTA5 11204, New York",25449,22.96,26.57,16.85,14.58,7.86,4.53,6.65
89,11205.0,416,766,54.31,11205,Brooklyn,NY,40.694214,-73.96529,"40.694214,-73.96529",1010,8710000US3611205,"ZCTA5 11205, New York",14690,33.19,29.65,14.75,9.32,5.47,2.94,4.68
90,11206.0,808,1391,58.09,11206,Brooklyn,NY,40.702348,-73.94288,"40.702348,-73.94288",585,8710000US3611206,"ZCTA5 11206, New York",28025,25.89,27.25,17.6,12.4,7.24,4.01,5.62
91,11207.0,1004,1626,61.75,11207,Brooklyn,NY,40.670874,-73.89424,"40.670874,-73.89424",836,8710000US3611207,"ZCTA5 11207, New York",31118,24.06,24.05,19.49,14.85,9.17,4.52,3.86
92,11208.0,1129,1723,65.53,11208,Brooklyn,NY,40.672666,-73.87248000000001,"40.672666,-73.87248",1506,8710000US3611208,"ZCTA5 11208, New York",29211,20.34,21.08,19.77,17.0,10.84,5.65,5.32
93,11209.0,648,1262,51.35,11209,Brooklyn,NY,40.62327,-74.0295,"40.62327,-74.0295",1672,8710000US3611209,"ZCTA5 11209, New York",31065,40.65,28.85,12.96,9.63,4.69,1.87,1.35
94,11210.0,960,1516,63.32,11210,Brooklyn,NY,40.627946,-73.94552,"40.627946,-73.94552",425,8710000US3611210,"ZCTA5 11210, New York",20653,24.85,24.86,17.19,13.25,8.9,5.58,5.36
95,11211.0,1248,1975,63.19,11211,Brooklyn,NY,40.71209,-73.95427,"40.71209,-73.95427",662,8710000US3611211,"ZCTA5 11211, New York",33489,28.59,33.2,15.39,9.21,5.31,2.96,5.34
96,11212.0,915,1410,64.89,11212,Brooklyn,NY,40.662191,-73.91328,"40.662191,-73.91328",938,8710000US3611212,"ZCTA5 11212, New York",30201,26.92,25.64,20.16,13.33,7.85,3.39,2.7
97,11213.0,840,1373,61.18,11213,Brooklyn,NY,40.670937,-73.93459,"40.670937,-73.93459",9,8710000US3611213,"ZCTA5 11213, New York",23142,30.33,25.52,17.64,11.76,7.24,3.35,4.16
98,11214.0,829,1437,57.69,11214,Brooklyn,NY,40.598994,-73.99611,"40.598994,-73.99611",949,8710000US3611214,"ZCTA5 11214, New York",32212,27.26,27.63,17.24,14.73,6.8,3.28,3.08
99,11215.0,373,845,44.14,11215,Brooklyn,NY,40.667508000000005,-73.9856,"40.667508,-73.9856",926,8710000US3611215,"ZCTA5 11215, New York",28077,32.04,35.91,16.34,11.14,2.98,0.97,0.62
100,11216.0,408,760,53.68,11216,Brooklyn,NY,40.680398,-73.94824,"40.680398,-73.94824",961,8710000US3611216,"ZCTA5 11216, New York",23193,38.45,27.93,15.1,9.53,4.85,2.1,2.05
101,11217.0,344,640,53.75,11217,Brooklyn,NY,40.68209,-73.97783000000001,"40.68209,-73.97783",40,8710000US3611217,"ZCTA5 11217, New York",16269,37.08,34.7,14.83,8.42,2.93,1.17,0.87
102,11218.0,1015,1672,60.71,11218,Brooklyn,NY,40.644552000000004,-73.97595,"40.644552,-73.97595",191,8710000US3611218,"ZCTA5 11218, New York",25240,26.98,26.39,15.32,12.99,7.75,4.32,6.25
103,11219.0,1725,2561,67.36,11219,Brooklyn,NY,40.632449,-73.99629,"40.632449,-73.99629",1395,8710000US3611219,"ZCTA5 11219, New York",26177,20.48,23.04,15.17,13.81,9.78,6.75,10.98
104,11220.0,844,1328,63.55,11220,Brooklyn,NY,40.641436,-74.01574000000001,"40.641436,-74.01574",160,8710000US3611220,"ZCTA5 11220, New York",29018,19.79,21.58,16.5,16.62,10.72,6.05,8.73
105,11221.0,683,1139,59.96,11221,Brooklyn,NY,40.691234,-73.92636999999999,"40.691234,-73.92637",807,8710000US3611221,"ZCTA5 11221, New York",28391,30.56,24.25,17.43,12.68,7.67,3.75,3.66
106,11222.0,271,544,49.82,11222,Brooklyn,NY,40.726302000000004,-73.94559,"40.726302,-73.94559",1278,8710000US3611222,"ZCTA5 11222, New York",17033,32.92,38.76,15.48,8.12,3.05,1.05,0.62
107,11223.0,960,1692,56.74,11223,Brooklyn,NY,40.598141999999996,-73.97229,"40.598142,-73.97229",969,8710000US3611223,"ZCTA5 11223, New York",28421,26.96,27.94,16.65,12.98,7.58,4.28,3.62
108,11224.0,528,881,59.93,11224,Brooklyn,NY,40.576589,-73.99172,"40.576589,-73.99172",1126,8710000US3611224,"ZCTA5 11224, New York",19774,35.37,31.33,15.0,9.43,4.43,2.07,2.37
109,11225.0,686,1080,63.52,11225,Brooklyn,NY,40.662892,-73.95509,"40.662892,-73.95509",249,8710000US3611225,"ZCTA5 11225, New York",22501,32.63,28.05,16.9,10.87,5.9,2.93,2.72
110,11226.0,1089,1669,65.25,11226,Brooklyn,NY,40.645255999999996,-73.95553000000001,"40.645256,-73.95553",1777,8710000US3611226,"ZCTA5 11226, New York",36101,27.56,25.83,18.38,13.03,7.77,3.7,3.73
111,11228.0,378,664,56.93,11228,Brooklyn,NY,40.617563,-74.01168,"40.617563,-74.01168",1646,8710000US3611228,"ZCTA5 11228, New York",15572,27.01,28.05,17.6,15.07,7.01,2.97,2.29
112,11229.0,860,1514,56.8,11229,Brooklyn,NY,40.599256,-73.94118,"40.599256,-73.94118",1113,8710000US3611229,"ZCTA5 11229, New York",30601,28.5,29.76,16.88,12.73,6.53,3.13,2.47
113,11230.0,1367,2198,62.19,11230,Brooklyn,NY,40.622994,-73.96427,"40.622994,-73.96427",1125,8710000US3611230,"ZCTA5 11230, New York",30859,30.46,27.12,14.84,11.03,6.62,4.25,5.68
114,11231.0,254,524,48.47,11231,Brooklyn,NY,40.6788,-74.00254,"40.6788,-74.00254",492,8710000US3611231,"ZCTA5 11231, New York",15216,34.49,34.9,15.78,10.08,3.06,0.94,0.75
115,11232.0,299,434,68.89,11232,Brooklyn,NY,40.655481,-74.00424,"40.655481,-74.00424",725,8710000US3611232,"ZCTA5 11232, New York",8403,22.1,26.2,16.61,14.28,9.04,5.64,6.12
116,11233.0,648,1056,61.36,11233,Brooklyn,NY,40.676938,-73.91858,"40.676938,-73.91858",1715,8710000US3611233,"ZCTA5 11233, New York",25693,31.4,26.09,18.77,11.67,6.66,2.95,2.45
117,11234.0,1260,2061,61.14,11234,Brooklyn,NY,40.618561,-73.9216,"40.618561,-73.9216",325,8710000US3611234,"ZCTA5 11234, New York",31213,24.12,26.8,18.99,15.42,8.56,3.55,2.56
118,11235.0,992,1746,56.82,11235,Brooklyn,NY,40.583803,-73.95019,"40.583803,-73.95019",883,8710000US3611235,"ZCTA5 11235, New York",33886,35.44,31.31,15.49,10.26,4.19,1.78,1.55
119,11236.0,1439,2176,66.13,11236,Brooklyn,NY,40.640527,-73.90361999999999,"40.640527,-73.90362",689,8710000US3611236,"ZCTA5 11236, New York",31778,22.41,24.91,21.07,15.74,8.65,4.06,3.17
120,11237.0,481,715,67.27,11237,Brooklyn,NY,40.703355,-73.91993000000001,"40.703355,-73.91993",641,8710000US3611237,"ZCTA5 11237, New York",15512,19.69,25.13,18.38,15.9,10.04,4.9,5.96
121,11238.0,466,810,57.53,11238,Brooklyn,NY,40.680145,-73.96257,"40.680145,-73.96257",877,8710000US3611238,"ZCTA5 11238, New York",22648,39.01,32.82,15.06,7.87,2.98,1.25,1.01
122,11239.0,275,440,62.5,11239,Brooklyn,NY,40.645848,-73.87919000000001,"40.645848,-73.87919",1718,8710000US3611239,"ZCTA5 11239, New York",6280,42.01,29.65,13.98,7.87,4.14,1.56,0.8
123,11354.0,503,821,61.27,11354,Flushing,NY,40.767969,-73.82496,"40.767969,-73.82496",454,8710000US3611354,"ZCTA5 11354, New York",20120,25.6,29.78,19.38,14.37,6.11,2.79,1.97
124,11355.0,639,1006,63.52,11355,Flushing,NY,40.749463,-73.81940999999999,"40.749463,-73.81941",1772,8710000US3611355,"ZCTA5 11355, New York",28837,20.99,26.08,20.53,16.25,8.33,4.15,3.68
125,11356.0,313,538,58.18,11356,College Point,NY,40.785462,-73.84366,"40.785462,-73.84366",1037,8710000US3611356,"ZCTA5 11356, New York",7751,19.65,25.22,19.82,17.58,9.91,4.75,3.07
