,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip,City,State,Latitude,Longitude,geopoint,0,id,Geographic Area Name,Total_SEX BY AGE,Male,Male!!Under 5 years,Male!!5 to 9 years,Male!!10 to 14 years,Male!!15 to 17 years,Male!!18 and 19 years,Male!!20 years,Male!!21 years,Male!!22 to 24 years,Male!!25 to 29 years,Male!!30 to 34 years,Male!!35 to 39 years,Male!!40 to 44 years,Male!!45 to 49 years,Male!!50 to 54 years,Male!!55 to 59 years,Male!!60 and 61 years,Male!!62 to 64 years,Male!!65 and 66 years,Male!!67 to 69 years,Male!!70 to 74 years,Male!!75 to 79 years,Male!!80 to 84 years,Male!!85 years and over,Female,Female!!Under 5 years,Female!!5 to 9 years,Female!!10 to 14 years,Female!!15 to 17 years,Female!!18 and 19 years,Female!!20 years,Female!!21 years,Female!!22 to 24 years,Female!!25 to 29 years,Female!!30 to 34 years,Female!!35 to 39 years,Female!!40 to 44 years,Female!!45 to 49 years,Female!!50 to 54 years,Female!!55 to 59 years,Female!!60 and 61 years,Female!!62 to 64 years,Female!!65 and 66 years,Female!!67 to 69 years,Female!!70 to 74 years,Female!!75 to 79 years,Female!!80 to 84 years,Female!!85 years and over
14,10018.0,159,339,46.9,10018,New York,NY,40.755101,-73.99337,"40.755101,-73.99337",832,8710000US3610018,"ZCTA5 10018, New York",5229,2795,57,39,46,25,47,29,52,233,497,353,353,287,224,160,128,40,51,26,38,43,44,20,3,2434,65,58,38,28,36,72,67,264,529,290,206,157,142,108,120,26,57,38,40,48,20,10,15
15,10019.0,350,787,44.47,10019,New York,NY,40.765714,-73.9856,"40.765714,-73.9856",519,8710000US3610019,"ZCTA5 10019, New York",42870,21379,775,376,350,235,180,109,111,1296,3065,3077,2225,1836,1582,1335,1218,476,624,329,483,607,502,342,246,21491,761,383,332,218,233,164,204,1684,3466,2696,1811,1430,1209,1178,1196,498,661,449,533,784,607,480,514
16,10021.0,400,1011,39.56,10021,New York,NY,40.76842,-73.96045,"40.76842,-73.96045",344,8710000US3610021,"ZCTA5 10021, New York",43631,18894,1230,808,607,281,109,73,84,597,2040,2136,1514,1353,1101,1131,1055,453,728,407,597,843,761,558,428,24737,1088,741,575,297,153,94,115,1087,3080,2690,1892,1540,1405,1428,1474,709,1067,636,903,1147,913,760,943
17,10022.0,231,584,39.55,10022,New York,NY,40.759015000000005,-73.96732,"40.759015,-73.96732",1709,8710000US3610022,"ZCTA5 10022, New York",31924,14487,596,371,269,130,158,49,44,535,1485,1394,1169,980,954,935,1032,406,670,368,571,761,700,519,391,17437,631,394,263,149,372,107,75,801,2039,1597,1213,998,991,1050,1207,527,886,529,721,972,719,603,593
18,10023.0,368,900,40.89,10023,New York,NY,40.776099,-73.98285,"40.776099,-73.98285",809,8710000US3610023,"ZCTA5 10023, New York",60998,27578,1711,1050,815,477,477,225,193,840,2383,2888,2484,2190,1970,1891,1758,791,981,588,828,1020,834,693,491,33420,1602,959,791,503,689,331,297,1348,3492,3524,2857,2412,2042,2026,2106,897,1286,768,1162,1319,1008,911,1090
19,10024.0,400,1035,38.65,10024,New York,NY,40.786387,-73.97709,"40.786387,-73.97709",716,8710000US3610024,"ZCTA5 10024, New York",59283,27436,1827,1304,1060,617,270,128,114,735,2195,2434,2229,2330,2063,1939,2023,757,1089,666,854,980,777,578,467,31847,1678,1280,1046,592,233,172,167,1267,3134,2856,2599,2379,2175,2143,2166,925,1403,771,1007,1198,941,767,948
20,10025.0,685,1544,44.37,10025,New York,NY,40.798502,-73.96811,"40.798502,-73.96811",157,8710000US3610025,"ZCTA5 10025, New York",94600,43291,2232,1857,1710,1150,811,826,747,2314,4162,3504,3263,3040,3132,3183,3022,1094,1427,818,1126,1444,1081,735,613,51309,2226,1789,1762,1095,1000,1020,1061,3142,5147,3886,3373,3298,3214,3361,3374,1338,2003,1222,1531,1918,1557,1289,1703
21,10026.0,334,650,51.38,10026,New York,NY,40.802853000000006,-73.95470999999999,"40.802853,-73.95471",1657,8710000US3610026,"ZCTA5 10026, New York",34003,15877,962,975,993,583,440,231,234,802,1491,1397,1286,1424,1269,1180,840,289,313,185,231,326,172,166,88,18126,1050,963,930,617,440,228,246,947,1787,1576,1553,1466,1366,1232,954,338,445,250,351,482,362,264,279
22,10027.0,496,949,52.27,10027,New York,NY,40.812665,-73.95499000000001,"40.812665,-73.95499",291,8710000US3610027,"ZCTA5 10027, New York",59707,27465,1539,1447,1468,1042,1504,676,607,2021,3176,2382,1741,1885,1793,1660,1351,459,602,343,412,543,352,249,213,32242,1634,1409,1444,1020,2145,878,863,2528,3561,2607,2019,1994,1993,1732,1610,572,677,397,581,832,647,515,584
23,10028.0,330,844,39.1,10028,New York,NY,40.776777,-73.9541,"40.776777,-73.9541",1403,8710000US3610028,"ZCTA5 10028, New York",45141,19961,1092,918,802,454,154,83,72,791,2268,2025,1544,1495,1381,1307,1161,484,712,461,628,775,626,431,297,25180,1071,929,813,432,218,134,121,1423,3253,2476,1901,1703,1538,1517,1579,735,1072,625,805,976,744,556,559
