,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip,City,State,Latitude,Longitude,geopoint,Below Poverty Level - All people,Below Poverty Level - Under 18 years,Below Poverty Level - Related children of the householder under 18 years,Below Poverty Level - Related children of the householder under 5 years,Below Poverty Level - Related children of the householder 5 to 17 years,Below Poverty Level - 18 years and over,Below Poverty Level - 18 to 64 years,Below Poverty Level - 65 years and over
159,11423.0,894,1781,50.2,11423,Hollis,NY,40.714261,-73.76824,"40.714261,-73.76824",10.0,14.2,13.6,13.4,13.7,9.0,9.0,9.2
160,11426.0,455,987,46.1,11426,Bellerose,NY,40.732239,-73.72108,"40.732239,-73.72108",10.7,16.4,16.4,15.5,17.0,9.1,9.1,9.0
161,11427.0,690,1415,48.76,11427,Queens Village,NY,40.728235,-73.74781999999999,"40.728235,-73.74782",9.4,11.2,11.0,11.2,10.8,9.0,8.3,11.8
162,11428.0,606,1145,52.93,11428,Queens Village,NY,40.719981,-73.74127,"40.719981,-73.74127",10.5,16.7,16.5,18.7,15.8,9.0,8.6,11.0
163,11429.0,838,1558,53.79,11429,Queens Village,NY,40.708833,-73.73903,"40.708833,-73.73903",12.0,22.6,21.9,28.0,20.1,9.5,9.4,10.3
164,11432.0,1533,3034,50.53,11432,Jamaica,NY,40.714144,-73.79324,"40.714144,-73.79324",18.9,25.0,24.7,27.7,23.4,17.2,17.0,18.0
165,11433.0,826,1729,47.77,11433,Jamaica,NY,40.696538000000004,-73.78734,"40.696538,-73.78734",18.9,26.3,25.9,29.1,24.9,16.2,15.9,18.2
166,11434.0,1739,3573,48.67,11434,Jamaica,NY,40.674888,-73.7727,"40.674888,-73.7727",11.8,15.8,15.0,19.0,13.5,10.7,10.6,11.2
167,11435.0,1404,2984,47.05,11435,Jamaica,NY,40.700068,-73.80986,"40.700068,-73.80986",18.0,27.8,27.6,20.3,30.8,15.4,15.2,16.9
168,11436.0,464,1000,46.4,11436,Jamaica,NY,40.674146,-73.79687,"40.674146,-73.79687",13.0,18.3,18.1,16.8,18.4,11.5,11.8,9.6
169,11691.0,1950,3715,52.49,11691,Far Rockaway,NY,40.60002,-73.75962,"40.60002,-73.75962",23.4,28.9,28.8,26.2,30.2,20.9,19.5,28.4
170,11692.0,523,1068,48.97,11692,Arverne,NY,40.592939,-73.79568,"40.592939,-73.79568",23.4,34.2,34.1,24.4,37.2,18.7,20.2,9.7
171,11693.0,295,635,46.46,11693,Far Rockaway,NY,40.596959000000005,-73.81978000000001,"40.596959,-73.81978",16.6,27.9,27.7,31.0,26.0,13.5,12.9,16.9
172,11694.0,623,1351,46.11,11694,Rockaway Park,NY,40.57649,-73.84721,"40.57649,-73.84721",6.7,2.6,2.6,3.9,2.1,8.0,7.8,8.4
173,11697.0,85,207,41.06,11697,Breezy Point,NY,40.560167,-73.90890999999999,"40.560167,-73.90891",4.3,2.6,2.6,0.0,3.2,4.8,4.3,6.1
