,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip,City,State,Latitude,Longitude,geopoint,Below Poverty Level - All people,Below Poverty Level - Under 18 years,Below Poverty Level - Related children of the householder under 18 years,Below Poverty Level - Related children of the householder under 5 years,Below Poverty Level - Related children of the householder 5 to 17 years,Below Poverty Level - 18 years and over,Below Poverty Level - 18 to 64 years,Below Poverty Level - 65 years and over
37,10069.0,46,169,27.22,10069,New York,NY,40.775477,-73.9905,"40.775477,-73.9905",9.1,6.2,6.2,7.1,5.4,9.8,8.2,35.4
38,10128.0,558,2040,27.35,10128,New York,NY,40.781894,-73.95039,"40.781894,-73.95039",6.7,5.2,5.2,2.1,7.0,7.0,6.7,8.3
39,10280.0,38,178,21.35,10280,New York,NY,40.707467,-74.0178,"40.707467,-74.0178",5.8,4.7,4.7,2.0,6.4,6.1,5.4,12.7
40,10282.0,64,177,36.16,10282,New York,NY,40.717178999999994,-74.01433,"40.717179,-74.01433",4.8,3.4,3.4,0.0,8.1,5.3,3.2,33.5
41,10301.0,1020,2501,40.78,10301,Staten Island,NY,40.631775,-74.09432,"40.631775,-74.09432",23.7,37.1,37.0,37.6,36.8,19.2,20.1,14.5
42,10302.0,567,1279,44.33,10302,Staten Island,NY,40.631127,-74.13715,"40.631127,-74.13715",22.8,33.5,33.5,31.8,34.2,19.5,20.0,16.3
43,10303.0,762,1807,42.17,10303,Staten Island,NY,40.629448,-74.16239,"40.629448,-74.16239",25.2,31.5,31.5,37.9,29.3,23.0,23.4,20.3
44,10304.0,1248,2973,41.98,10304,Staten Island,NY,40.60787,-74.08991,"40.60787,-74.08991",21.6,31.3,31.1,32.2,30.8,18.4,19.0,15.7
45,10305.0,1104,2906,37.99,10305,Staten Island,NY,40.599021,-74.07503,"40.599021,-74.07503",12.1,13.5,13.4,9.5,15.0,11.8,11.4,13.4
46,10306.0,1316,3757,35.03,10306,Staten Island,NY,40.569394,-74.11785,"40.569394,-74.11785",8.8,9.4,8.7,8.1,8.9,8.6,8.5,9.0
47,10307.0,354,1005,35.22,10307,Staten Island,NY,40.508274,-74.24387,"40.508274,-74.24387",7.6,10.2,9.3,5.8,10.4,6.8,6.9,6.4
48,10308.0,587,1756,33.43,10308,Staten Island,NY,40.551353000000006,-74.15098,"40.551353,-74.15098",6.9,8.0,7.7,0.9,9.9,6.6,5.8,9.8
49,10309.0,783,2254,34.74,10309,Staten Island,NY,40.529749,-74.21304,"40.529749,-74.21304",9.0,10.2,8.9,13.9,7.4,8.6,8.1,10.9
50,10310.0,663,1721,38.52,10310,Staten Island,NY,40.63212,-74.11551,"40.63212,-74.11551",18.1,24.4,24.3,27.1,23.4,15.9,16.5,12.4
51,10312.0,1389,3818,36.38,10312,Staten Island,NY,40.543116999999995,-74.17628,"40.543117,-74.17628",6.6,8.1,8.1,6.9,8.4,6.1,5.7,7.5
52,10314.0,2436,6329,38.49,10314,Staten Island,NY,40.606336999999996,-74.14513000000001,"40.606337,-74.14513",9.4,10.9,10.9,7.4,12.3,9.0,8.6,10.7
53,10451.0,1429,3063,46.65,10451,Bronx,NY,40.819728999999995,-73.9223,"40.819729,-73.9223",36.2,49.3,49.1,41.6,52.0,31.4,29.8,39.5
54,10452.0,2016,4323,46.63,10452,Bronx,NY,40.838745,-73.92234,"40.838745,-73.92234",39.4,51.2,51.2,45.2,53.4,34.6,33.7,42.0
55,10453.0,2012,4329,46.48,10453,Bronx,NY,40.853017,-73.91214000000001,"40.853017,-73.91214",43.3,57.2,57.0,54.1,58.1,38.0,38.0,38.6
56,10454.0,982,2197,44.7,10454,Bronx,NY,40.805968,-73.91628,"40.805968,-73.91628",46.9,60.4,60.2,61.2,59.9,41.0,41.0,40.9
57,10455.0,1098,2340,46.92,10455,Bronx,NY,40.815559,-73.90771,"40.815559,-73.90771",42.7,54.9,54.7,56.3,54.0,37.7,36.8,44.1
58,10456.0,2162,4842,44.65,10456,Bronx,NY,40.829676,-73.90856,"40.829676,-73.90856",40.8,53.8,53.8,52.3,54.3,35.4,35.4,35.4
59,10457.0,1805,4017,44.93,10457,Bronx,NY,40.846745,-73.89860999999999,"40.846745,-73.89861",39.2,49.6,49.3,50.9,48.7,34.9,35.2,32.0
60,10458.0,1759,3943,44.61,10458,Bronx,NY,40.864166,-73.88880999999999,"40.864166,-73.88881",37.5,49.4,49.3,44.1,51.6,32.9,32.6,35.1
61,10459.0,1315,2719,48.36,10459,Bronx,NY,40.825432,-73.89327,"40.825432,-73.89327",38.0,45.3,45.2,43.6,45.8,35.1,34.6,38.7
62,10460.0,1425,3100,45.97,10460,Bronx,NY,40.84095,-73.88036,"40.84095,-73.88036",41.6,56.0,55.8,55.0,56.1,36.2,36.5,34.2
63,10461.0,1708,4019,42.5,10461,Bronx,NY,40.842917,-73.83819,"40.842917,-73.83819",14.8,20.1,19.9,18.8,20.4,13.5,13.3,14.7
64,10462.0,2010,4681,42.94,10462,Bronx,NY,40.842172999999995,-73.85862,"40.842173,-73.85862",19.9,25.4,25.1,28.3,23.8,18.3,17.8,20.9
65,10463.0,1645,4050,40.62,10463,Bronx,NY,40.881085999999996,-73.90749,"40.881086,-73.90749",17.8,26.3,26.0,21.9,28.1,15.3,16.4,11.2
66,10464.0,114,363,31.4,10464,Bronx,NY,40.857017,-73.78903000000001,"40.857017,-73.78903",4.1,0.0,0.0,0.0,0.0,5.1,3.2,9.4
67,10465.0,1365,3606,37.85,10465,Bronx,NY,40.825727,-73.81752,"40.825727,-73.81752",13.5,18.5,18.4,19.0,18.2,12.2,12.3,12.0
68,10466.0,2108,4511,46.73,10466,Bronx,NY,40.89095,-73.84702,"40.89095,-73.84702",19.8,30.5,30.1,32.5,29.2,16.5,16.7,15.2
69,10467.0,2952,6235,47.35,10467,Bronx,NY,40.872265000000006,-73.86936999999999,"40.872265,-73.86937",29.9,42.2,42.1,44.1,41.1,25.6,26.0,23.1
70,10468.0,2153,4313,49.92,10468,Bronx,NY,40.867107,-73.89916,"40.867107,-73.89916",31.6,44.0,43.9,44.7,43.4,27.3,26.6,32.3
71,10469.0,2600,5379,48.34,10469,Bronx,NY,40.868643,-73.84735,"40.868643,-73.84735",14.8,23.2,22.6,21.0,23.1,12.5,13.1,9.5
72,10470.0,398,955,41.68,10470,Bronx,NY,40.900628999999995,-73.86072,"40.900629,-73.86072",12.4,18.8,18.8,11.0,22.4,10.9,11.1,10.0
73,10471.0,535,1385,38.63,10471,Bronx,NY,40.900819,-73.90347,"40.900819,-73.90347",10.6,9.4,9.1,5.1,11.2,10.9,10.0,13.4
74,10472.0,1694,3365,50.34,10472,Bronx,NY,40.830409,-73.86845,"40.830409,-73.86845",35.7,51.0,50.7,49.2,51.4,30.1,30.7,25.9
75,10473.0,1709,3859,44.29,10473,Bronx,NY,40.818514,-73.85893,"40.818514,-73.85893",29.6,41.0,40.9,41.2,40.8,26.1,26.8,22.7
76,10474.0,286,645,44.34,10474,Bronx,NY,40.81321,-73.88755,"40.81321,-73.88755",41.8,52.4,51.7,53.2,51.2,37.2,36.3,45.1
77,10475.0,1545,3807,40.58,10475,Bronx,NY,40.878522,-73.82540999999999,"40.878522,-73.82541",10.7,16.2,16.1,18.2,15.4,9.6,9.0,11.2
78,11004.0,515,943,54.61,11004,Glen Oaks,NY,40.742944,-73.70956,"40.742944,-73.70956",6.8,13.1,13.1,8.5,16.0,5.7,5.8,5.2
79,11101.0,542,1450,37.38,11101,Long Island City,NY,40.745340999999996,-73.93907,"40.745341,-73.93907",21.0,25.6,25.6,19.9,28.6,20.1,18.9,29.0
80,11102.0,528,1235,42.75,11102,Astoria,NY,40.771285999999996,-73.92461999999999,"40.771286,-73.92462",17.9,27.5,27.5,27.3,27.6,16.1,15.9,17.4
81,11103.0,465,1169,39.78,11103,Astoria,NY,40.762968,-73.91091,"40.762968,-73.91091",14.1,23.5,23.5,13.2,29.0,12.6,12.4,14.2
82,11104.0,418,1006,41.55,11104,Sunnyside,NY,40.743796,-73.91949,"40.743796,-73.91949",14.1,23.3,23.3,19.9,25.3,12.6,12.6,12.2
83,11105.0,433,1247,34.72,11105,Astoria,NY,40.774685999999996,-73.90816,"40.774686,-73.90816",11.0,14.0,13.6,10.3,15.3,10.5,11.0,7.4
84,11106.0,560,1383,40.49,11106,Astoria,NY,40.762012,-73.93146999999999,"40.762012,-73.93147",17.5,27.1,27.0,19.4,31.0,15.9,15.1,20.4
85,11109.0,46,191,24.08,11109,Long Island City,NY,40.651378,-73.870779,"40.651378,-73.870779",8.1,0.0,0.0,0.0,0.0,9.2,9.2,10.8
86,11201.0,544,1756,30.98,11201,Brooklyn,NY,40.695285999999996,-73.98907,"40.695286,-73.98907",14.8,17.8,17.8,14.2,20.8,14.3,14.5,12.9
87,11203.0,1771,3732,47.45,11203,Brooklyn,NY,40.649059,-73.93304,"40.649059,-73.93304",18.0,25.5,25.3,27.0,24.7,16.0,16.4,14.6
88,11204.0,1705,3826,44.56,11204,Brooklyn,NY,40.618944,-73.98473,"40.618944,-73.98473",24.5,35.4,35.2,38.1,33.8,20.3,20.1,21.3
89,11205.0,613,1738,35.27,11205,Brooklyn,NY,40.694214,-73.96529,"40.694214,-73.96529",33.9,48.6,48.5,49.0,48.3,28.0,28.1,27.5
90,11206.0,1315,3096,42.47,11206,Brooklyn,NY,40.702348,-73.94288,"40.702348,-73.94288",36.4,52.7,52.6,51.3,53.1,30.1,29.3,35.1
91,11207.0,1745,3876,45.02,11207,Brooklyn,NY,40.670874,-73.89424,"40.670874,-73.89424",30.0,41.1,41.0,39.5,41.5,26.1,25.7,29.0
92,11208.0,1953,3945,49.51,11208,Brooklyn,NY,40.672666,-73.87248000000001,"40.672666,-73.87248",29.7,39.7,39.6,41.5,38.8,25.9,26.0,24.8
93,11209.0,985,2658,37.06,11209,Brooklyn,NY,40.62327,-74.0295,"40.62327,-74.0295",14.3,18.7,18.4,14.9,20.3,13.3,13.2,13.9
94,11210.0,1466,3177,46.14,11210,Brooklyn,NY,40.627946,-73.94552,"40.627946,-73.94552",14.2,18.6,18.5,13.4,20.4,12.7,13.1,10.3
95,11211.0,1769,4235,41.77,11211,Brooklyn,NY,40.71209,-73.95427,"40.71209,-73.95427",28.9,47.5,47.4,47.1,47.6,22.8,22.1,29.1
96,11212.0,1534,3413,44.95,11212,Brooklyn,NY,40.662191,-73.91328,"40.662191,-73.91328",35.3,45.0,44.1,45.4,43.5,32.1,32.3,30.7
97,11213.0,1215,2650,45.85,11213,Brooklyn,NY,40.670937,-73.93459,"40.670937,-73.93459",26.4,32.7,32.1,36.3,30.3,24.4,24.2,25.9
98,11214.0,1316,2949,44.63,11214,Brooklyn,NY,40.598994,-73.99611,"40.598994,-73.99611",17.4,24.0,23.8,21.1,25.0,15.8,14.6,20.7
99,11215.0,536,1688,31.75,11215,Brooklyn,NY,40.667508000000005,-73.9856,"40.667508,-73.9856",8.1,6.7,6.6,3.6,8.6,8.4,7.6,14.2
100,11216.0,617,1599,38.59,11216,Brooklyn,NY,40.680398,-73.94824,"40.680398,-73.94824",20.8,26.1,25.6,33.4,22.1,19.8,19.3,23.9
101,11217.0,494,1190,41.51,11217,Brooklyn,NY,40.68209,-73.97783000000001,"40.68209,-73.97783",12.5,15.1,14.8,13.6,15.8,12.0,11.2,17.9
102,11218.0,1476,3185,46.34,11218,Brooklyn,NY,40.644552000000004,-73.97595,"40.644552,-73.97595",22.7,32.8,32.8,31.3,33.5,18.9,18.6,20.6
103,11219.0,2443,5615,43.51,11219,Brooklyn,NY,40.632449,-73.99629,"40.632449,-73.99629",36.0,48.4,48.3,50.6,47.1,29.2,30.3,23.7
104,11220.0,1287,2691,47.83,11220,Brooklyn,NY,40.641436,-74.01574000000001,"40.641436,-74.01574",33.7,46.9,46.7,45.3,47.4,29.3,29.4,29.1
105,11221.0,1080,2465,43.81,11221,Brooklyn,NY,40.691234,-73.92636999999999,"40.691234,-73.92637",26.9,35.3,35.0,34.9,35.1,24.5,23.6,31.2
106,11222.0,384,1006,38.17,11222,Brooklyn,NY,40.726302000000004,-73.94559,"40.726302,-73.94559",12.3,12.0,12.0,10.0,13.3,12.4,11.1,22.9
107,11223.0,1459,3349,43.57,11223,Brooklyn,NY,40.598141999999996,-73.97229,"40.598142,-73.97229",20.1,24.2,23.9,24.8,23.4,18.7,17.4,23.9
108,11224.0,960,2132,45.03,11224,Brooklyn,NY,40.576589,-73.99172,"40.576589,-73.99172",26.7,34.4,34.2,35.1,33.9,25.0,20.7,35.5
109,11225.0,1016,2257,45.02,11225,Brooklyn,NY,40.662892,-73.95509,"40.662892,-73.95509",19.6,27.5,27.4,27.3,27.5,17.5,17.9,15.1
110,11226.0,1894,3987,47.5,11226,Brooklyn,NY,40.645255999999996,-73.95553000000001,"40.645256,-73.95553",18.9,25.0,24.9,24.8,24.9,17.0,16.2,21.7
111,11228.0,571,1390,41.08,11228,Brooklyn,NY,40.617563,-74.01168,"40.617563,-74.01168",13.1,18.3,18.2,19.8,17.4,11.7,12.1,9.9
